incrementLabels,meanDeltaRisk,sdDeltaRisk,meanDeltaFitness,sdDeltaFitness,meanDeltaTrade,sdDeltaTrade,meanDeltaSwitches,sdDeltaSwitches
M1 - M0,1.51582450295488e-14,6.9911482098448e-14,-7.16159041506958,2.31314737171573,1.2126596023639e-13,4.76693793617835e-13,911.566666666667,226.150039199389
M2 - M1,7.5791225147744e-15,6.10643053255535e-14,9.04097661638288,1.82569107116865,1.51582450295488e-14,4.54485926690736e-13,-1349.76666666667,172.526996055157
M3 - M2,-112.312858376872,11.8475549614287,24.5500595245356,2.90930986490852,-700.202165182673,62.3368932538694,356.933333333333,140.414886069409
