replication,seed,mechanismID,mechanismLabel,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
5,5,M4_regulation,M4 + Regulation,coordinated,Coordinated,115.942643012108,227.454609870623,1638.02681277521,219,4620,1829,2791
5,5,M5_timing,M5 + Policy timing,baseline,Baseline,125.947825705486,322.857785214549,2252.4175435453,123,3065,953,2112
5,5,M5_timing,M5 + Policy timing,early_mover,Early Mover,122.583371007061,229.244074813513,1584.74741782114,263,4901,1842,3059
5,5,M5_timing,M5 + Policy timing,sequential,Sequential,121.830161714466,216.83029685136,1513.16409025047,275,5053,1876,3177
5,5,M5_timing,M5 + Policy timing,coordinated,Coordinated,115.942643012108,227.454609870623,1638.02681277521,219,4620,1829,2791
5,5,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,122.692295111273,217.538794376581,1518.41196289592,275,5036,1930,3106
6,6,M0_minimal,M0 Minimal adaptation,baseline,Baseline,100.283838340162,449.668132001805,3027.49153839759,0,2985,1467,1518
6,6,M1_choice,M1 + Softmax choice,baseline,Baseline,93.7472230984408,449.668132001805,3027.49153839759,0,3925,1162,2763
6,6,M2_frictions,M2 + Switching costs,baseline,Baseline,103.200820204782,449.668132001805,3027.49153839759,0,2469,1156,1313
6,6,M3_recovery,M3 + Recovery,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,M4_regulation,M4 + Regulation,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,M4_regulation,M4 + Regulation,coordinated,Coordinated,115.399685601392,263.504275607985,1704.2770394992,234,4648,1698,2950
6,6,M5_timing,M5 + Policy timing,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,M5_timing,M5 + Policy timing,early_mover,Early Mover,127.156243648825,244.243487018803,1597.6019806683,259,4883,1712,3171
6,6,M5_timing,M5 + Policy timing,sequential,Sequential,123.210791103839,231.186094663746,1542.7781262703,264,4884,1716,3168
6,6,M5_timing,M5 + Policy timing,coordinated,Coordinated,115.399685601392,263.504275607985,1704.2770394992,234,4648,1698,2950
6,6,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,123.250539658337,239.603955096579,1576.5849661688,256,4880,1701,3179
7,7,M0_minimal,M0 Minimal adaptation,baseline,Baseline,98.0484946441233,450.24899658101,2948.72563232571,0,3029,1437,1592
7,7,M1_choice,M1 + Softmax choice,baseline,Baseline,87.4783060089552,450.24899658101,2948.72563232571,0,4069,1142,2927
7,7,M2_frictions,M2 + Switching costs,baseline,Baseline,101.341334340165,450.24899658101,2948.72563232571,0,2479,966,1513
7,7,M3_recovery,M3 + Recovery,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,M4_regulation,M4 + Regulation,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,M4_regulation,M4 + Regulation,coordinated,Coordinated,120.304788881182,239.178867270945,1523.35684452428,265,5013,1641,3372
7,7,M5_timing,M5 + Policy timing,baseline,Baseline,125.190753686278,313.241083983099,2200.6463066579,125,2861,1029,1832
7,7,M5_timing,M5 + Policy timing,early_mover,Early Mover,123.684045403862,246.784573790224,1579.63956871199,269,5028,1529,3499
7,7,M5_timing,M5 + Policy timing,sequential,Sequential,120.87885313584,237.088938577919,1521.68368666912,271,5012,1667,3345
7,7,M5_timing,M5 + Policy timing,coordinated,Coordinated,120.304788881182,239.178867270945,1523.35684452428,265,5013,1641,3372
7,7,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,119.819263009835,243.829215875599,1538.21570616957,279,5029,1663,3366
8,8,M0_minimal,M0 Minimal adaptation,baseline,Baseline,97.9363087614434,440.956166694076,2939.96636177321,0,2759,1166,1593
8,8,M1_choice,M1 + Softmax choice,baseline,Baseline,90.1947641114516,440.956166694076,2939.96636177321,0,3925,1145,2780
8,8,M2_frictions,M2 + Switching costs,baseline,Baseline,99.8472752371366,440.956166694076,2939.96636177321,0,2383,943,1440
8,8,M3_recovery,M3 + Recovery,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,M4_regulation,M4 + Regulation,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,M4_regulation,M4 + Regulation,coordinated,Coordinated,118.537642777963,227.387320652565,1511.65107207032,269,5052,1660,3392
8,8,M5_timing,M5 + Policy timing,baseline,Baseline,125.245959682002,333.143988606944,2268.25310937299,127,2911,1130,1781
8,8,M5_timing,M5 + Policy timing,early_mover,Early Mover,120.834337327938,238.10389646501,1560.14788542524,265,5130,1631,3499
8,8,M5_timing,M5 + Policy timing,sequential,Sequential,118.248170315656,235.974348518491,1531.15507564673,257,5083,1700,3383
8,8,M5_timing,M5 + Policy timing,coordinated,Coordinated,118.537642777963,227.387320652565,1511.65107207032,269,5052,1660,3392
8,8,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,118.310494728948,233.319551946239,1531.4516106633,262,5150,1636,3514
9,9,M0_minimal,M0 Minimal adaptation,baseline,Baseline,102.857504075017,447.679822263215,3006.01569166627,0,2747,1432,1315
9,9,M1_choice,M1 + Softmax choice,baseline,Baseline,94.4668066952229,447.679822263215,3006.01569166627,0,3598,1154,2444
9,9,M2_frictions,M2 + Switching costs,baseline,Baseline,105.074200574563,447.679822263215,3006.01569166627,0,2400,1181,1219
9,9,M3_recovery,M3 + Recovery,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,M4_regulation,M4 + Regulation,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,M4_regulation,M4 + Regulation,coordinated,Coordinated,118.164185300485,247.325460257382,1684.3588718152,248,4606,1830,2776
9,9,M5_timing,M5 + Policy timing,baseline,Baseline,127.99074617512,330.428575696783,2318.44593013309,116,2795,1165,1630
9,9,M5_timing,M5 + Policy timing,early_mover,Early Mover,126.359655297267,233.96132132355,1630.88068472619,241,4715,1818,2897
9,9,M5_timing,M5 + Policy timing,sequential,Sequential,122.315857851758,231.540831309036,1601.44591321614,233,4661,1832,2829
9,9,M5_timing,M5 + Policy timing,coordinated,Coordinated,118.164185300485,247.325460257382,1684.3588718152,248,4606,1830,2776
9,9,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,120.897052226849,238.682612841184,1625.40217919759,232,4598,1820,2778
10,10,M0_minimal,M0 Minimal adaptation,baseline,Baseline,100.49156187107,438.56794094518,2925.61276374826,0,3052,1430,1622
10,10,M1_choice,M1 + Softmax choice,baseline,Baseline,95.4865381105859,438.56794094518,2925.61276374826,0,3556,1144,2412
10,10,M2_frictions,M2 + Switching costs,baseline,Baseline,104.337779033348,438.56794094518,2925.61276374826,0,2278,1078,1200
10,10,M3_recovery,M3 + Recovery,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,M4_regulation,M4 + Regulation,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,M4_regulation,M4 + Regulation,coordinated,Coordinated,115.14925062672,241.535838676811,1750.31717571919,220,4192,1664,2528
10,10,M5_timing,M5 + Policy timing,baseline,Baseline,125.464422229636,326.212289056639,2330.83421171135,97,2510,1062,1448
10,10,M5_timing,M5 + Policy timing,early_mover,Early Mover,116.552661684733,243.439200802321,1798.55631215155,203,3898,1586,2312
10,10,M5_timing,M5 + Policy timing,sequential,Sequential,112.846813962261,255.4656371221,1752.91035908242,203,3855,1572,2283
10,10,M5_timing,M5 + Policy timing,coordinated,Coordinated,115.14925062672,241.535838676811,1750.31717571919,220,4192,1664,2528
10,10,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,114.35920393099,242.705135258404,1749.30788350355,219,4044,1597,2447
11,11,M0_minimal,M0 Minimal adaptation,baseline,Baseline,99.4720277896395,450.471604454726,3013.53063192246,0,3044,1405,1639
11,11,M1_choice,M1 + Softmax choice,baseline,Baseline,93.9405148852444,450.471604454726,3013.53063192246,0,3903,1311,2592
11,11,M2_frictions,M2 + Switching costs,baseline,Baseline,103.535942572999,450.471604454726,3013.53063192246,0,2430,1003,1427
11,11,M3_recovery,M3 + Recovery,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,M4_regulation,M4 + Regulation,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,M4_regulation,M4 + Regulation,coordinated,Coordinated,116.165293164709,237.184561671278,1747.52830280841,253,4708,1635,3073
11,11,M5_timing,M5 + Policy timing,baseline,Baseline,125.751273841672,328.268827405729,2322.5751188945,108,2783,1072,1711
11,11,M5_timing,M5 + Policy timing,early_mover,Early Mover,116.467496794527,242.820164295734,1761.62085355682,237,4566,1614,2952
11,11,M5_timing,M5 + Policy timing,sequential,Sequential,114.596610701217,237.786676058666,1745.85469162884,234,4556,1601,2955
11,11,M5_timing,M5 + Policy timing,coordinated,Coordinated,116.165293164709,237.184561671278,1747.52830280841,253,4708,1635,3073
11,11,M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,114.678741131476,239.354186086795,1727.43716606597,252,4593,1644,2949
