groupMechanismID,groupMechanismLabel,groupScenarioID,groupScenarioName,n,meanFinalRisk,sdFinalRisk,meanFinalFitness,sdFinalFitness,meanFinalTrade,sdFinalTrade,meanTotalSwitches,sdTotalSwitches,meanLocalSwitches,meanGlobalSwitches
M0_minimal,M0 Minimal adaptation,baseline,Baseline,30,448.100234817195,9.04902662839681,100.311684899826,2.71355602037477,2997.04697385226,38.6470118839395,2908.8,220.454921500503,1368.33333333333,1540.46666666667
M1_choice,M1 + Softmax choice,baseline,Baseline,30,448.100234817195,9.04902662839682,93.1500944847563,3.6367709152484,2997.04697385226,38.6470118839396,3820.36666666667,243.758569551688,1173.53333333333,2646.83333333333
M2_frictions,M2 + Switching costs,baseline,Baseline,30,448.100234817195,9.04902662839682,102.191071101139,3.18906205323476,2997.04697385226,38.6470118839396,2470.6,201.264039990018,1046.06666666667,1424.53333333333
M3_recovery,M3 + Recovery,baseline,Baseline,30,335.787376440323,16.4324375185025,126.741130625675,1.31413676122653,2296.84480866959,59.1862392216294,2827.53333333333,238.230362773359,1075.3,1752.23333333333
M4_regulation,M4 + Regulation,baseline,Baseline,30,335.787376440323,16.4324375185025,126.741130625675,1.31413676122653,2296.84480866959,59.1862392216294,2827.53333333333,238.230362773359,1075.3,1752.23333333333
M4_regulation,M4 + Regulation,coordinated,Coordinated,30,242.946669510094,16.5531482820298,117.901743903025,3.43563950976712,1671.92784580778,94.236352091421,4678.66666666667,349.577314553697,1688.13333333333,2990.53333333333
M5_timing,M5 + Policy timing,baseline,Baseline,30,335.787376440323,16.4324375185025,126.741130625675,1.31413676122653,2296.84480866959,59.1862392216294,2827.53333333333,238.230362773359,1075.3,1752.23333333333
M5_timing,M5 + Policy timing,coordinated,Coordinated,30,242.946669510094,16.5531482820298,117.901743903025,3.43563950976712,1671.92784580778,94.236352091421,4678.66666666667,349.577314553697,1688.13333333333,2990.53333333333
M5_timing,M5 + Policy timing,delayed_coordination,Delayed Coordination,30,239.630048912415,18.3970416744708,119.780338504654,4.42291925540624,1627.72034599566,99.5277650363477,4782.16666666667,387.39911552899,1698.06666666667,3084.1
M5_timing,M5 + Policy timing,early_mover,Early Mover,30,245.584019427486,18.1541852219454,121.734386886589,3.70085623062586,1677.56690968049,95.3504948640187,4733.2,389.437118114744,1671.26666666667,3061.93333333333
M5_timing,M5 + Policy timing,sequential,Sequential,30,240.933468749679,15.9986893853392,119.682763117688,3.89231729741121,1628.30358572684,94.1766661940091,4755.26666666667,395.824580907471,1704.83333333333,3050.43333333333
