scenario_id,GroupCount,mean_delta_final_risk_vs_permuted_baseline,std_delta_final_risk_vs_permuted_baseline,median_delta_final_risk_vs_permuted_baseline,min_delta_final_risk_vs_permuted_baseline,max_delta_final_risk_vs_permuted_baseline
baseline,100,0,0,0,0,0
coordinated,100,-93.5516854508624,17.7943980420838,-96.4164104542076,-130.995140826458,-47.7476610001793
delayed_coordination,100,-99.1390693177298,18.3146388130784,-99.7154427173965,-134.145370214718,-43.9291917733404
early_mover,100,-92.4907815570773,18.1074107653951,-91.5596582102739,-131.841179193288,-42.7434293506478
sequential,100,-98.1360198616832,18.6381439844527,-100.995826425314,-135.029754208643,-48.2628017909659
