replication,seed,scenario_id,scenario_name,final_fitness,final_risk_original,final_risk_permuted,delta_risk_permutation_minus_original,final_trade,total_switches
44,44,baseline,Baseline,126.98630722553,353.84992670354,326.622475684064,-27.2274510194761,2347.72602891548,2643
44,44,early_mover,Early Mover,120.687847754822,240.450140161878,242.266502519043,1.8163623571651,1726.83786702403,4563
44,44,sequential,Sequential,117.204861679813,237.746675432423,239.921927382934,2.1752519505113,1681.65018483937,4653
44,44,coordinated,Coordinated,112.085154250367,288.669538039879,269.749893477866,-18.9196445620124,1901.75095353901,3951
44,44,delayed_coordination,Delayed Coordination,117.272353832612,240.419950265958,238.4155661835,-2.0043840824587,1672.73031605735,4663
45,45,baseline,Baseline,126.542193853938,337.566575124526,342.345648855416,4.77907373088976,2392.21350880138,2543
45,45,early_mover,Early Mover,118.699351406544,256.095833772476,227.500941297578,-28.5948924748978,1721.80355868736,4598
45,45,sequential,Sequential,117.625238892412,246.747371408881,230.271718684359,-16.4756527245219,1659.96845686937,4665
45,45,coordinated,Coordinated,117.437409886933,237.716588698564,226.573035128406,-11.1435535701583,1680.10128785858,4681
45,45,delayed_coordination,Delayed Coordination,116.459291060121,246.069719846773,228.60130564408,-17.4684142026925,1665.47805623473,4708
46,46,baseline,Baseline,126.418697127027,344.457765006681,321.97477867642,-22.4829863302617,2261.4845537417,2971
46,46,early_mover,Early Mover,121.690598849742,248.446109689782,247.362836210904,-1.0832734788786,1696.90839000376,4778
46,46,sequential,Sequential,121.223032975226,237.97063859438,239.284896308737,1.31425771435676,1620.26203654492,4823
46,46,coordinated,Coordinated,116.046931240936,254.172063966215,248.863354263963,-5.30870970225223,1690.45247066892,4616
46,46,delayed_coordination,Delayed Coordination,119.364015438187,240.21734597984,240.662949385322,0.445603405481478,1625.73638559918,4774
47,47,baseline,Baseline,127.539767302724,331.203041132302,327.458345764422,-3.74469536787927,2297.45960050458,2995
47,47,early_mover,Early Mover,125.376842911485,244.976334654132,253.465844003867,8.48950934973473,1617.99042129866,4953
47,47,sequential,Sequential,117.184794056227,246.008478889073,254.501252825181,8.49277393610785,1698.99995441605,4624
47,47,coordinated,Coordinated,116.249531431077,252.308523833271,252.637365280554,0.328841447283139,1760.23311170467,4382
47,47,delayed_coordination,Delayed Coordination,119.874008485697,245.518868384725,252.735357653594,7.21648926886911,1677.36390104896,4725
48,48,baseline,Baseline,126.545954327441,345.780618057106,337.483316460657,-8.29730159644913,2312.43353954343,2718
48,48,early_mover,Early Mover,117.542524570107,292.801438843018,270.893613096067,-21.9078257469511,1785.88394783918,4435
48,48,sequential,Sequential,116.97987230675,277.880714595632,260.4417351688,-17.4389794268315,1719.77283204678,4513
48,48,coordinated,Coordinated,112.951347795772,281.873664086451,263.237360870735,-18.6363032157165,1762.42773845998,4432
48,48,delayed_coordination,Delayed Coordination,116.829381789059,272.072264518476,247.41476520052,-24.6574993179561,1718.19084800248,4497
49,49,baseline,Baseline,126.832867160848,344.60098049751,350.998007012928,6.39702651541768,2317.40256212435,2938
