replication,seed,scenario_id,delta_final_risk_vs_permuted_baseline
35,35,early_mover,-98.5441807254024
35,35,sequential,-105.935493904802
35,35,coordinated,-113.473694390632
35,35,delayed_coordination,-106.761234249655
36,36,baseline,0
36,36,early_mover,-111.396423847508
36,36,sequential,-119.120405185892
36,36,coordinated,-105.568406210382
36,36,delayed_coordination,-118.678550681994
37,37,baseline,0
37,37,early_mover,-103.355102640043
37,37,sequential,-115.047344704106
37,37,coordinated,-106.050275193477
37,37,delayed_coordination,-115.085172509699
38,38,baseline,0
38,38,early_mover,-64.0752078656474
38,38,sequential,-89.0256234679636
38,38,coordinated,-80.9774465342179
38,38,delayed_coordination,-82.4376276134885
39,39,baseline,0
39,39,early_mover,-126.955708318844
39,39,sequential,-128.47545063077
39,39,coordinated,-117.995977667395
39,39,delayed_coordination,-134.854588801201
40,40,baseline,0
40,40,early_mover,-129.289192320053
40,40,sequential,-127.362086625937
40,40,coordinated,-126.228112625645
40,40,delayed_coordination,-128.102541004374
41,41,baseline,0
41,41,early_mover,-102.064695574467
41,41,sequential,-107.890426800343
41,41,coordinated,-112.559207807675
41,41,delayed_coordination,-118.532089981347
42,42,baseline,0
42,42,early_mover,-102.034751177697
42,42,sequential,-102.253259007017
42,42,coordinated,-104.547819682312
42,42,delayed_coordination,-100.781813096578
43,43,baseline,0
43,43,early_mover,-124.719686949115
43,43,sequential,-132.601988766254
43,43,coordinated,-138.539655428907
43,43,delayed_coordination,-140.010311398839
44,44,baseline,0
44,44,early_mover,-84.7848390894944
44,44,sequential,-91.198606955622
44,44,coordinated,-98.9167536312527
44,44,delayed_coordination,-73.5663434442089
45,45,baseline,0
45,45,early_mover,-125.021387556397
45,45,sequential,-116.974926723608
45,45,coordinated,-126.418074554905
45,45,delayed_coordination,-129.0021458162
46,46,baseline,0
46,46,early_mover,-121.604608650494
46,46,sequential,-142.797229931248
46,46,coordinated,-95.7026440657044
46,46,delayed_coordination,-126.952323989955
47,47,baseline,0
47,47,early_mover,-114.072147065765
47,47,sequential,-130.966277090873
47,47,coordinated,-115.831219149918
47,47,delayed_coordination,-133.249360752289
48,48,baseline,0
48,48,early_mover,-104.423801893453
48,48,sequential,-112.202658160728
48,48,coordinated,-77.8073051946375
48,48,delayed_coordination,-120.697416123583
49,49,baseline,0
49,49,early_mover,-89.831149385973
49,49,sequential,-100.538177048119
49,49,coordinated,-83.0628264240803
49,49,delayed_coordination,-89.0358937959701
50,50,baseline,0
50,50,early_mover,-125.057945314629
50,50,sequential,-138.273428953067
50,50,coordinated,-114.167550013149
50,50,delayed_coordination,-133.391294500149
51,51,baseline,0
51,51,early_mover,-94.1884265542459
51,51,sequential,-104.091975015192
51,51,coordinated,-110.64107148057
51,51,delayed_coordination,-101.528182986389
52,52,baseline,0
52,52,early_mover,-83.8866186135336
52,52,sequential,-81.4524976049309
52,52,coordinated,-66.6793790645449
52,52,delayed_coordination,-83.8183735102855
53,53,baseline,0
53,53,early_mover,-114.872577837993
53,53,sequential,-114.600506297712
53,53,coordinated,-120.853796543974
53,53,delayed_coordination,-107.743034728581
54,54,baseline,0
54,54,early_mover,-116.7211330541
54,54,sequential,-133.201772625119
54,54,coordinated,-112.955251363508
54,54,delayed_coordination,-121.224048480859
55,55,baseline,0
55,55,early_mover,-125.690709345884
55,55,sequential,-140.682332813712
55,55,coordinated,-141.277898182723
55,55,delayed_coordination,-148.358332512122
56,56,baseline,0
56,56,early_mover,-89.4720817740932
56,56,sequential,-94.3062709438318
56,56,coordinated,-74.3751724928028
56,56,delayed_coordination,-93.0557808299105
57,57,baseline,0
57,57,early_mover,-92.737055420675
57,57,sequential,-110.598357046593
57,57,coordinated,-111.058743106191
57,57,delayed_coordination,-101.245614867175
58,58,baseline,0
58,58,early_mover,-108.613711229307
58,58,sequential,-111.742688150086
58,58,coordinated,-89.9778035381527
58,58,delayed_coordination,-110.646047425209
59,59,baseline,0
59,59,early_mover,-123.864112147174
59,59,sequential,-134.136592144543
59,59,coordinated,-152.35788271759
59,59,delayed_coordination,-121.986423602626
60,60,baseline,0
60,60,early_mover,-109.850368495278
60,60,sequential,-134.082605643539
