scenario_id,scenario_name,GroupCount,mean_final_risk_original,std_final_risk_original,median_final_risk_original,min_final_risk_original,max_final_risk_original,mean_final_risk_permuted,std_final_risk_permuted,median_final_risk_permuted,min_final_risk_permuted,max_final_risk_permuted,mean_delta_risk_permutation_minus_original,std_delta_risk_permutation_minus_original,median_delta_risk_permutation_minus_original,min_delta_risk_permutation_minus_original,max_delta_risk_permutation_minus_original
baseline,Baseline,100,364.989254439264,19.4666265601244,367.316880768442,315.655058958907,413.496681892735,368.907227947,15.6322100477508,369.763580306524,327.298246303223,402.46792240438,3.91797350773568,18.7321055159546,6.57872029844754,-47.1242824911819,40.05205454791
coordinated,Coordinated,100,256.681801943831,20.730145102862,254.317016264646,216.085908535556,317.351337305861,256.619472799744,20.3806522631093,254.790794890674,208.805598945117,306.408914461159,-0.062329144087148,17.157008087394,0.806885317740026,-53.5199662654416,40.7150424656351
delayed_coordination,Delayed Coordination,100,249.421941019763,19.5413227496411,248.558386854317,206.100551406701,307.758264391766,250.137228780906,19.6115834898288,248.175661988072,211.525715543676,297.148991186929,0.715287761143016,16.9986386476213,0.544122922691258,-42.8622619486668,48.6368472425631
early_mover,Early Mover,100,258.918839463421,20.5355016454139,257.54934962766,207.231497125994,316.082448204883,259.102049443622,19.5014788774151,258.762729747795,215.770181902242,315.51141093477,0.183209980201821,17.5020379373643,2.05343230023672,-56.0975864501275,45.506769986613
sequential,Sequential,100,250.364963968239,20.3673931005749,250.146356074867,201.687375357161,307.471100420889,251.058573319185,18.4669450763903,248.680790202799,213.947728113802,290.560995332454,0.693609350946545,16.3429481870888,-0.114948639365053,-45.9642994674441,45.4619870828971
