replication,seed,beta,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
18,18,2,delayed_coordination,Delayed Coordination,132.516238255776,225.617621330294,1448.74142446671,316,5054,1136,3918
18,18,4,baseline,Baseline,123.383552995967,347.590988160746,2418.31657658367,106,2137,591,1546
18,18,4,early_mover,Early Mover,122.694925819787,251.04153264618,1625.95985753568,274,4622,1179,3443
18,18,4,sequential,Sequential,124.790067988986,238.408107472954,1548.10305498924,287,4786,1276,3510
18,18,4,coordinated,Coordinated,123.888137202173,239.713276628113,1591.67341805511,291,4710,1227,3483
18,18,4,delayed_coordination,Delayed Coordination,126.092267653718,232.6263173716,1567.24390096756,302,4771,1202,3569
18,18,8,baseline,Baseline,122.204376729422,353.954138414895,2455.06810483828,105,2046,565,1481
18,18,8,early_mover,Early Mover,116.31678834925,274.939106538008,1738.83165648372,258,4116,1100,3016
18,18,8,sequential,Sequential,114.013190335823,264.441438237908,1714.36248513833,261,4099,1189,2910
18,18,8,coordinated,Coordinated,109.782651360639,275.83403618873,1852.03124543706,233,3772,1184,2588
18,18,8,delayed_coordination,Delayed Coordination,115.373323947713,261.313103267447,1668.35423910638,263,4251,1185,3066
19,19,2,baseline,Baseline,123.358944415551,351.920694641263,2483.12820472115,98,2102,601,1501
19,19,2,early_mover,Early Mover,126.06142626278,241.007814590731,1736.81277997083,265,4520,1115,3405
