beta,scenario_id,scenario_name,GroupCount,mean_final_fitness,std_final_fitness,median_final_fitness,min_final_fitness,max_final_fitness,mean_final_risk,std_final_risk,median_final_risk,min_final_risk,max_final_risk,mean_final_trade,std_final_trade,median_final_trade,min_final_trade,max_final_trade,mean_final_recovering_links,std_final_recovering_links,median_final_recovering_links,min_final_recovering_links,max_final_recovering_links,mean_total_switches,std_total_switches,median_total_switches,min_total_switches,max_total_switches,mean_local_switches,std_local_switches,median_local_switches,min_local_switches,max_local_switches,mean_global_switches,std_global_switches,median_global_switches,min_global_switches,max_global_switches
2,baseline,Baseline,100,124.826758936816,1.69478798658027,124.38989365484,121.273622119848,128.957414727743,360.063802641761,21.1156459168444,361.289979240839,305.900855514495,411.813223563219,2465.34029643619,80.4716308404982,2463.75666066883,2258.99240373647,2649.2291815257,110.86,13.7781997328674,110,79,144,2232.63,268.734920836068,2248,1539,2958,568.18,79.3568057967471,571.5,375,733,1664.45,268.393513861323,1679.5,1009,2311
2,coordinated,Coordinated,100,126.683656587356,4.8708996783488,127.297214345974,110.506288961638,136.621257922054,239.219298034265,23.9801221138383,236.284675494061,191.688195377986,291.827734770518,1619.47706153384,105.343995004611,1622.91607193587,1415.17078446353,1956.78618182095,275.47,25.1979857299842,279.5,203,321,4652.61,412.162831777672,4678,3422,5553,1131.14,98.8782559259087,1137,781,1457,3521.47,377.008679668591,3522,2452,4394
2,delayed_coordination,Delayed Coordination,100,128.101546881492,5.00238490798719,128.721321401509,112.632635167409,139.335540860434,231.091162126917,20.70555660079,231.288038269364,182.192991764485,297.28688136814,1575.0158377413,97.1916125360544,1571.0590427494,1380.62077279855,1930.58825782544,283.25,24.1378093120283,284,221,326,4729.05,355.733255389342,4708,3721,5466,1110.14,91.7721178581034,1105.5,911,1410,3618.91,347.515106713276,3617.5,2668,4302
2,early_mover,Early Mover,100,128.457565095079,4.83597495947116,129.049903630153,112.241180391666,138.431207073271,243.03388707709,22.1253178746451,243.845847322588,187.437711555775,310.273484814602,1654.69259139282,99.3589967356912,1652.02167957929,1443.12338556802,2012.59342610094,271.63,22.5158328132167,274,187,311,4647.16,359.015790429582,4663,3296,5341,1064.7,99.1698369750428,1060,860,1304,3582.46,350.119299148681,3628,2427,4246
2,sequential,Sequential,100,127.830396935787,4.97185755737322,128.045895760823,111.86903285088,138.534801553748,231.419452534245,19.4686722791511,232.155015831323,185.909891274682,281.181849554264,1578.05530193522,93.6061591056287,1568.89386130356,1383.10043146379,1871.6154444383,283.41,22.6221019127201,287,221,324,4710.29,350.610615839558,4702.5,3570,5360,1120.51,93.5624347263323,1125,918,1381,3589.78,337.526941087072,3589,2613,4283
4,baseline,Baseline,100,123.762101855188,1.63670363323909,123.760515413527,120.88222279939,127.705157333736,364.989254439264,19.4666265601244,367.316880768442,315.655058958907,413.496681892735,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,105.05,13.2652618412594,104,67,133,2128.63,260.084549384009,2122.5,1341,2742,541.42,85.3486231567181,548,365,727,1587.21,262.707706953811,1580.5,845,2188
4,coordinated,Coordinated,100,117.353848650632,4.23617638441114,117.039195161427,106.757970279647,131.569368736889,256.681801943831,20.730145102862,254.317016264646,216.085908535556,317.351337305861,1742.81954177567,95.1464752752303,1738.91500686564,1534.069564103,1999.83402191748,248.63,26.9873352264773,252,167,304,4124.83,349.600726226045,4138,3073,4778,1146.43,96.6306364409854,1150.5,911,1398,2978.4,309.07947394177,2987.5,2081,3576
4,delayed_coordination,Delayed Coordination,100,119.155169338198,4.25049357166528,118.872758376779,107.198395392882,129.626825581916,249.421941019763,19.5413227496411,248.558386854317,206.100551406701,307.758264391766,1697.58437913567,99.9500530141091,1687.47211872377,1476.62069725131,1980.6193548954,254.89,26.3863658549317,261,180,304,4199.34,368.622421039374,4238.5,3159,4998,1148.51,93.34691405524,1142,909,1396,3050.83,334.497181972397,3084,2101,3743
4,early_mover,Early Mover,100,121.009284032315,3.71880739750282,120.859779300505,110.298864920898,129.640703242244,258.918839463421,20.5355016454139,257.54934962766,207.231497125994,316.082448204883,1758.13342859268,93.7359925544342,1751.27305899121,1573.44981533527,2044.59502613979,248.29,22.2316977273078,253,194,285,4166.05,351.424730076144,4215,3185,4863,1109.46,88.1630055950655,1105.5,874,1343,3056.59,335.821714815189,3083,2193,3752
4,sequential,Sequential,100,118.897221028558,4.19753303898076,119.416045086012,107.163134035311,128.955740538696,250.364963968239,20.3673931005749,250.146356074867,201.687375357161,307.471100420889,1702.30136750253,98.5267187583009,1689.79741343926,1491.55251940278,1959.18151551147,255.43,26.0202931683265,259.5,182,310,4170.79,368.665852785556,4221.5,3174,4968,1162.75,94.9716996656043,1154.5,930,1393,3008.04,335.166652954206,3017,2097,3713
