replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
66,66,early_mover,Early Mover,5.00113184374818,-137.888678566561,-847.552027614742,159,2527
66,66,sequential,Sequential,-0.201863177060247,-143.432800335394,-888.160849895382,160,2405
66,66,coordinated,Coordinated,-4.96800430042572,-120.986236444347,-752.49649550102,148,2182
66,66,delayed_coordination,Delayed Coordination,-0.162506027284977,-139.019624285853,-868.79394923059,150,2489
67,67,baseline,Baseline,0,0,0,0,0
67,67,early_mover,Early Mover,3.32893307924463,-125.200685803954,-878.528407988118,164,2592
67,67,sequential,Sequential,0.175729433435407,-127.593716333325,-908.578048078626,168,2634
67,67,coordinated,Coordinated,-0.8185410595664,-127.791426643481,-907.747041217305,169,2611
67,67,delayed_coordination,Delayed Coordination,1.8830184935108,-131.816574529049,-936.674260166243,176,2690
68,68,baseline,Baseline,0,0,0,0,0
68,68,early_mover,Early Mover,-0.591015601763644,-98.114417522284,-817.42689886315,161,2202
68,68,sequential,Sequential,-1.76864904524824,-118.60425640875,-937.813019710942,191,2372
68,68,coordinated,Coordinated,-5.32586241341509,-110.56240439886,-845.091149155157,185,2127
68,68,delayed_coordination,Delayed Coordination,-1.52804237273391,-112.508155752201,-910.324843471265,159,2255
69,69,baseline,Baseline,0,0,0,0,0
69,69,early_mover,Early Mover,-0.156291675985784,-113.88393057555,-851.95356501803,151,2382
69,69,sequential,Sequential,-0.525714507378609,-128.215574123505,-921.511440291842,172,2445
69,69,coordinated,Coordinated,-2.89568333396393,-125.208080534827,-891.3338162503,174,2269
69,69,delayed_coordination,Delayed Coordination,0.286152714765166,-133.024390064712,-948.782683101987,174,2559
70,70,baseline,Baseline,0,0,0,0,0
70,70,early_mover,Early Mover,-0.584005660818519,-66.5138978984893,-720.12515264605,140,2257
70,70,sequential,Sequential,0.605354985429358,-89.2504482275655,-846.524718851541,156,2476
70,70,coordinated,Coordinated,-0.666253856897001,-84.5269471678714,-826.868798809564,162,2494
70,70,delayed_coordination,Delayed Coordination,-1.95413127098162,-72.145922700567,-804.74547764831,159,2347
71,71,baseline,Baseline,0,0,0,0,0
71,71,early_mover,Early Mover,-8.11484730893601,-82.2931004873708,-647.48131644817,142,1908
71,71,sequential,Sequential,-8.93082680417452,-88.4656281040995,-705.179340964385,149,1939
71,71,coordinated,Coordinated,-10.5335946886119,-77.5576470619255,-662.510924756355,125,1818
71,71,delayed_coordination,Delayed Coordination,-9.48846993695858,-83.193245588948,-700.487632539997,145,1894
72,72,baseline,Baseline,0,0,0,0,0
72,72,early_mover,Early Mover,1.16167982289207,-122.859272824259,-852.33019901515,159,2300
72,72,sequential,Sequential,-3.93437298895708,-125.758305044752,-846.451050790075,136,2090
72,72,coordinated,Coordinated,-6.49115046217079,-123.463244295129,-794.533669137744,144,1970
72,72,delayed_coordination,Delayed Coordination,2.40208417610559,-145.241171445128,-962.562190253331,177,2462
73,73,baseline,Baseline,0,0,0,0,0
73,73,early_mover,Early Mover,-13.2757444153369,-36.7133485904547,-462.300311167794,88,1369
73,73,sequential,Sequential,-13.4002950676565,-41.6594805514032,-544.517878199191,110,1449
73,73,coordinated,Coordinated,-15.598359374042,-37.2076900962753,-459.751786141228,98,1402
73,73,delayed_coordination,Delayed Coordination,-15.6783714515268,-39.8885908985212,-509.821375645102,93,1325
74,74,baseline,Baseline,0,0,0,0,0
74,74,early_mover,Early Mover,-3.48142087509181,-107.252432662295,-755.125788626907,137,2093
74,74,sequential,Sequential,-7.67515123986939,-92.4168501263483,-741.851253466197,121,1859
74,74,coordinated,Coordinated,-6.83996826751888,-106.646228870309,-814.811172167436,155,2077
74,74,delayed_coordination,Delayed Coordination,-5.74662792702127,-114.236540208374,-821.722986685971,163,2240
75,75,baseline,Baseline,0,0,0,0,0
75,75,early_mover,Early Mover,0.387968466617906,-110.967637005702,-741.655777060731,158,2182
75,75,sequential,Sequential,-1.59688425968822,-121.438278229855,-790.546544822405,152,2211
75,75,coordinated,Coordinated,-1.51564272544157,-127.942545411979,-827.663962868097,179,2404
75,75,delayed_coordination,Delayed Coordination,-4.32364811753231,-113.036492730366,-749.464031605625,153,2093
76,76,baseline,Baseline,0,0,0,0,0
76,76,early_mover,Early Mover,1.74946808043789,-113.623736667938,-761.852758995283,121,2071
76,76,sequential,Sequential,-0.677668774629652,-133.232098531403,-824.656112789115,163,2245
76,76,coordinated,Coordinated,-4.46004240599281,-120.079805525629,-744.76771312752,131,2045
76,76,delayed_coordination,Delayed Coordination,-1.38842831703523,-123.829610892557,-804.229153372439,147,2194
77,77,baseline,Baseline,0,0,0,0,0
77,77,early_mover,Early Mover,-1.98500892509128,-119.277960193113,-762.002436671636,146,2068
77,77,sequential,Sequential,-5.07288301560475,-131.065205485747,-808.914695661296,162,2186
77,77,coordinated,Coordinated,-4.80968020671287,-112.393557971722,-777.774025555756,159,2089
77,77,delayed_coordination,Delayed Coordination,-4.42282321140686,-124.604640981438,-827.624593875439,140,2063
78,78,baseline,Baseline,0,0,0,0,0
78,78,early_mover,Early Mover,-11.993848921701,-94.4223996985854,-553.496577705444,101,1580
78,78,sequential,Sequential,-13.1229558782577,-111.285370723013,-616.091082440532,119,1618
78,78,coordinated,Coordinated,-14.8495703858762,-100.16080472108,-556.607637642795,99,1540
78,78,delayed_coordination,Delayed Coordination,-15.0032150047281,-104.189228555292,-571.19164149407,115,1576
79,79,baseline,Baseline,0,0,0,0,0
79,79,early_mover,Early Mover,0.0484798405522042,-125.848363899707,-856.318944757344,158,2245
79,79,sequential,Sequential,-4.08083376090727,-137.873629941335,-886.205455695015,166,2095
79,79,coordinated,Coordinated,-10.6950291878069,-119.730228988444,-755.231597019652,136,1596
79,79,delayed_coordination,Delayed Coordination,-2.63887086016445,-136.553919101034,-901.16563942086,162,2239
80,80,baseline,Baseline,0,0,0,0,0
80,80,early_mover,Early Mover,0.932613285535993,-150.463309141887,-827.461970571968,158,2382
80,80,sequential,Sequential,1.87165396362916,-164.515369979918,-952.585321727806,193,2412
80,80,coordinated,Coordinated,-4.11352592764058,-135.345578204701,-847.526183252939,189,2270
80,80,delayed_coordination,Delayed Coordination,1.33554422879199,-157.30311172949,-913.816472505539,185,2569
81,81,baseline,Baseline,0,0,0,0,0
81,81,early_mover,Early Mover,-2.43024186784099,-117.659015257608,-817.867015646447,170,2328
81,81,sequential,Sequential,-1.01937575497364,-142.422347815528,-961.206368572976,195,2387
81,81,coordinated,Coordinated,-4.42833425624289,-119.895999784307,-826.395951329116,183,2244
81,81,delayed_coordination,Delayed Coordination,-3.68569422989954,-137.426789037572,-910.632979493425,184,2386
82,82,baseline,Baseline,0,0,0,0,0
82,82,early_mover,Early Mover,0.485994140903088,-115.617963320116,-838.292620834108,155,2252
82,82,sequential,Sequential,-5.65945340407164,-118.89467542498,-827.794530935708,152,2056
82,82,coordinated,Coordinated,-8.51721840387846,-105.821004926924,-780.458024210046,151,2010
82,82,delayed_coordination,Delayed Coordination,-3.97500055517064,-126.234061483243,-871.041042690323,169,2279
83,83,baseline,Baseline,0,0,0,0,0
83,83,early_mover,Early Mover,-3.46496654126227,-95.8335928870519,-745.57574077776,143,2133
83,83,sequential,Sequential,-7.87568006336204,-112.787745856954,-766.849361443707,125,1904
83,83,coordinated,Coordinated,-6.31167770408524,-117.272779072572,-689.536425541352,124,1841
83,83,delayed_coordination,Delayed Coordination,-4.74326460750139,-115.997152428258,-824.64242119974,123,2028
84,84,baseline,Baseline,0,0,0,0,0
84,84,early_mover,Early Mover,-5.16326998957497,-68.5293074283912,-626.557637087575,131,1792
84,84,sequential,Sequential,-2.19379290606176,-133.890745259225,-850.759517644298,176,2013
84,84,coordinated,Coordinated,-3.1296286972792,-150.234986608031,-768.437612685231,168,2269
84,84,delayed_coordination,Delayed Coordination,-1.50563305160833,-148.135505537128,-853.315287925664,166,2065
85,85,baseline,Baseline,0,0,0,0,0
85,85,early_mover,Early Mover,-8.3274408418433,-94.0661220900839,-633.049927124702,131,1738
85,85,sequential,Sequential,-13.3140592017929,-95.3233935250859,-641.3102850015,91,1515
85,85,coordinated,Coordinated,-11.2286111906212,-89.9959304162127,-649.458745926838,105,1674
85,85,delayed_coordination,Delayed Coordination,-11.5257679695626,-98.0567378824708,-666.226751283926,116,1661
86,86,baseline,Baseline,0,0,0,0,0
86,86,early_mover,Early Mover,-3.98064952276835,-125.82357797398,-780.07191255333,170,2040
86,86,sequential,Sequential,-10.111113486548,-106.581404892998,-762.540092557325,151,1939
86,86,coordinated,Coordinated,-11.5354021246188,-96.1453445868748,-696.688967366379,126,1870
86,86,delayed_coordination,Delayed Coordination,-7.17626878421537,-134.302608052881,-822.525342284768,166,2050
87,87,baseline,Baseline,0,0,0,0,0
87,87,early_mover,Early Mover,-4.93427989989145,-109.601848533837,-637.419553690859,139,1844
87,87,sequential,Sequential,-2.96700417138528,-136.509042138611,-829.015403939454,173,2077
87,87,coordinated,Coordinated,-2.3345580356616,-148.56769774246,-855.59326615138,178,2329
87,87,delayed_coordination,Delayed Coordination,-5.35569177452243,-123.202715677651,-791.220241928023,170,1998
88,88,baseline,Baseline,0,0,0,0,0
88,88,early_mover,Early Mover,-9.32726630382409,-91.4089270234014,-559.474815988865,107,1488
88,88,sequential,Sequential,-9.37522326888956,-98.8492887102781,-661.189117904599,135,1668
88,88,coordinated,Coordinated,-9.91390603490342,-105.032328071663,-635.0483870033,129,1738
88,88,delayed_coordination,Delayed Coordination,-11.5973604495874,-99.0752404983808,-611.475169475734,111,1492
89,89,baseline,Baseline,0,0,0,0,0
89,89,early_mover,Early Mover,-8.44496749712317,-83.507420761137,-639.840938404107,130,1716
89,89,sequential,Sequential,-14.9195147088281,-86.2668009414855,-599.38687910581,129,1582
89,89,coordinated,Coordinated,-7.57154949397243,-106.523890183667,-755.775965689646,148,2132
89,89,delayed_coordination,Delayed Coordination,-10.2739299602426,-96.6400379466693,-727.276658753048,137,1831
90,90,baseline,Baseline,0,0,0,0,0
90,90,early_mover,Early Mover,-0.911275789624099,-123.52223788407,-863.313384672427,161,2166
90,90,sequential,Sequential,-5.66991577880337,-127.50732435985,-853.831458522072,155,1972
90,90,coordinated,Coordinated,-7.95823962139903,-114.336852291031,-819.257278335229,146,1992
90,90,delayed_coordination,Delayed Coordination,-3.79186857380763,-132.921879453302,-899.586158581905,159,2137
91,91,baseline,Baseline,0,0,0,0,0
91,91,early_mover,Early Mover,2.26714273402095,-97.9887197572452,-800.592885554761,145,2299
91,91,sequential,Sequential,-2.07902184723477,-102.043996148053,-819.15079209835,150,2212
91,91,coordinated,Coordinated,3.55035516162773,-122.566399324748,-920.769863538369,175,2600
91,91,delayed_coordination,Delayed Coordination,-1.66531309916992,-99.3124722380127,-818.169673882235,139,2182
92,92,baseline,Baseline,0,0,0,0,0
92,92,early_mover,Early Mover,-4.9155539661288,-108.312575430369,-631.068389310614,128,1787
92,92,sequential,Sequential,-7.59422997343924,-116.498086022886,-678.879483463083,137,1824
92,92,coordinated,Coordinated,-11.3497694799861,-102.708498408853,-646.479890043872,127,1726
92,92,delayed_coordination,Delayed Coordination,-6.46266059704932,-119.907206795348,-694.235332564113,124,1877
93,93,baseline,Baseline,0,0,0,0,0
93,93,early_mover,Early Mover,-1.33100182175365,-121.190164533746,-763.086062903986,161,2233
93,93,sequential,Sequential,-5.65602209204739,-121.987830592564,-787.012691338111,137,2018
93,93,coordinated,Coordinated,-7.40011138662349,-104.320825967672,-709.391417515895,144,1883
93,93,delayed_coordination,Delayed Coordination,-2.61632641027573,-133.340445900948,-829.060859522846,171,2232
94,94,baseline,Baseline,0,0,0,0,0
94,94,early_mover,Early Mover,2.09444815919045,-117.91864522484,-807.471699742868,165,2412
94,94,sequential,Sequential,-1.90379107763133,-123.354156165043,-805.812648696193,168,2415
94,94,coordinated,Coordinated,0.406567330959433,-121.529710139453,-830.628818192081,171,2474
94,94,delayed_coordination,Delayed Coordination,-0.717339328450606,-120.098142056933,-838.306262626998,170,2467
95,95,baseline,Baseline,0,0,0,0,0
95,95,early_mover,Early Mover,0.599948979187204,-129.334497379822,-865.265330574498,180,2420
95,95,sequential,Sequential,-0.916618211556369,-134.539287248691,-916.431505514776,177,2450
95,95,coordinated,Coordinated,-6.86161106823322,-123.073658516798,-780.207428839281,133,2157
95,95,delayed_coordination,Delayed Coordination,2.36268100499119,-141.918393001978,-949.160033389029,200,2625
96,96,baseline,Baseline,0,0,0,0,0
96,96,early_mover,Early Mover,-1.83340913334651,-76.3230036579311,-687.542872718545,134,1953
96,96,sequential,Sequential,-2.76703628103682,-80.711221529177,-739.330207786726,133,1975
96,96,coordinated,Coordinated,-4.23663099961458,-86.9284607007377,-713.129016133391,132,2006
96,96,delayed_coordination,Delayed Coordination,-4.18072515210245,-99.4898432596166,-767.605786689299,140,1949
97,97,baseline,Baseline,0,0,0,0,0
97,97,early_mover,Early Mover,-1.10583842122024,-130.255641511808,-831.158307059442,161,1985
97,97,sequential,Sequential,-6.1740970376687,-135.415424422611,-872.254804647338,154,1904
97,97,coordinated,Coordinated,-12.9627685264025,-90.11803952671,-755.878162204102,122,1547
97,97,delayed_coordination,Delayed Coordination,-5.30363059573324,-135.043445322069,-876.580369598234,146,1809
98,98,baseline,Baseline,0,0,0,0,0
98,98,early_mover,Early Mover,-5.6248360622959,-79.9498140625462,-682.046499865959,135,1813
98,98,sequential,Sequential,-6.79808024328909,-109.347494066776,-716.001765646118,155,1821
98,98,coordinated,Coordinated,-7.02358502372543,-115.929173307169,-762.181911171851,156,2069
98,98,delayed_coordination,Delayed Coordination,-5.89109801951076,-119.824926616801,-747.295586734801,149,1896
99,99,baseline,Baseline,0,0,0,0,0
99,99,early_mover,Early Mover,2.09940559522521,-137.552150525629,-928.210506711753,174,2498
99,99,sequential,Sequential,1.6216182368633,-144.339983956106,-993.891344649561,182,2413
99,99,coordinated,Coordinated,-0.0703933750874626,-129.204107849945,-906.51603269197,178,2512
99,99,delayed_coordination,Delayed Coordination,1.54847260704153,-145.810072498371,-1025.86351369674,202,2499
100,100,baseline,Baseline,0,0,0,0,0
100,100,early_mover,Early Mover,-3.19096116987123,-108.790989890405,-738.107135180735,146,2111
100,100,sequential,Sequential,-8.77788346036228,-112.366044505667,-739.988925818039,126,1851
100,100,coordinated,Coordinated,-10.3129580143973,-128.222072203861,-735.432398576964,130,1906
100,100,delayed_coordination,Delayed Coordination,-5.04595120314383,-135.824898447379,-821.862849377039,150,2063
