replication,seed,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
15,15,delayed_coordination,Delayed Coordination,-3.86967323211459,-135.239696854821,-784.728273009564,139,2056
16,16,baseline,Baseline,0,0,0,0,0
16,16,early_mover,Early Mover,-3.76126283622234,-84.0834886006833,-547.22129171747,93,1350
16,16,sequential,Sequential,-4.2907076075398,-103.93959183436,-607.312470639422,105,1479
16,16,coordinated,Coordinated,-9.16658962693192,-98.6675774687533,-554.942679914479,117,1447
16,16,delayed_coordination,Delayed Coordination,-3.2509417392952,-104.338853329713,-622.357403342363,115,1493
17,17,baseline,Baseline,0,0,0,0,0
17,17,early_mover,Early Mover,-0.474649684374597,-115.93015408354,-784.674512535799,148,2411
17,17,sequential,Sequential,-2.17161652484054,-123.909329119485,-878.040412592036,169,2457
17,17,coordinated,Coordinated,-4.55389273473322,-131.62445274381,-813.28415581251,156,2276
17,17,delayed_coordination,Delayed Coordination,-1.20546634820138,-138.808973959467,-885.877637040657,170,2455
18,18,baseline,Baseline,0,0,0,0,0
18,18,early_mover,Early Mover,-0.688627176180432,-96.5494555145658,-792.356719047988,168,2485
18,18,sequential,Sequential,1.40651499301877,-109.182880687792,-870.213521594432,181,2649
18,18,coordinated,Coordinated,0.504584206205806,-107.877711532633,-826.643158528555,185,2573
18,18,delayed_coordination,Delayed Coordination,2.7087146577509,-114.964670789146,-851.072675616104,196,2634
19,19,baseline,Baseline,0,0,0,0,0
19,19,early_mover,Early Mover,-5.91253094144538,-84.1986938175718,-620.834539036756,105,1630
19,19,sequential,Sequential,-6.28133841897363,-89.782106458024,-687.96630922056,143,1796
19,19,coordinated,Coordinated,-6.77554311448253,-104.259684036703,-693.187251645106,123,1912
19,19,delayed_coordination,Delayed Coordination,-8.66290145432984,-83.6488415320406,-617.00969006478,111,1688
20,20,baseline,Baseline,0,0,0,0,0
20,20,early_mover,Early Mover,3.11844202916994,-100.504194061194,-782.271382779651,151,2228
20,20,sequential,Sequential,-1.90296978211508,-100.28115200731,-789.587667194322,135,2167
20,20,coordinated,Coordinated,-9.69957975110344,-80.3839420703346,-573.854227171247,89,1599
20,20,delayed_coordination,Delayed Coordination,-2.50139981766338,-88.7504891706659,-751.009322803262,138,2144
21,21,baseline,Baseline,0,0,0,0,0
21,21,early_mover,Early Mover,-4.55691204738403,-94.026760520733,-665.353219381221,144,1943
21,21,sequential,Sequential,-5.23899682318751,-107.535837051231,-753.733945721061,144,2006
21,21,coordinated,Coordinated,-2.93005378420183,-117.638057181893,-768.801127586247,144,2189
21,21,delayed_coordination,Delayed Coordination,-4.92350744715671,-107.15639025628,-756.901584637083,156,2086
22,22,baseline,Baseline,0,0,0,0,0
22,22,early_mover,Early Mover,-7.36591697960364,-113.947597070665,-605.513485087497,101,1657
22,22,sequential,Sequential,-12.485064253861,-113.050506757529,-587.005410966204,88,1395
22,22,coordinated,Coordinated,-8.50215800894044,-119.804122026074,-645.192423615056,105,1856
