replication,seed,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
1,1,early_mover,sequential,-0.836902678597639,32.6248475357381,150.96935963576,-146
1,1,early_mover,coordinated,5.04217810815047,-11.8804407632494,1.77132999586024,-19
1,1,early_mover,delayed_coordination,-0.259841507593435,24.2252357234388,116.78152788067,-202
1,1,sequential,coordinated,5.8790807867481,-44.5052882989875,-149.1980296399,127
1,1,sequential,delayed_coordination,0.577061171004203,-8.39961181229933,-34.18783175509,-56
1,1,coordinated,delayed_coordination,-5.3020196157439,36.1056764866882,115.01019788481,-183
2,2,early_mover,sequential,2.80470501725577,9.43908809555546,58.3131629856739,-34
2,2,early_mover,coordinated,3.03053891826598,6.43077498943555,51.2659951821981,12
2,2,early_mover,delayed_coordination,3.11658150212884,-3.84292164897636,35.9835150772183,-51
2,2,sequential,coordinated,0.225833901010205,-3.00831310611991,-7.04716780347576,46
2,2,sequential,delayed_coordination,0.311876484873068,-13.2820097445318,-22.3296479084556,-17
2,2,coordinated,delayed_coordination,0.0860425838628629,-10.2736966384119,-15.2824801049799,-63
3,3,early_mover,sequential,0.560606993535231,18.9429630991922,79.1791671084034,-62
3,3,early_mover,coordinated,3.84749350497773,3.69545998908353,59.9383851463863,-104
3,3,early_mover,delayed_coordination,-1.99729776551291,19.3337142876566,147.99202677438,-206
3,3,sequential,coordinated,3.2868865114425,-15.2475031101087,-19.2407819620171,-42
3,3,sequential,delayed_coordination,-2.55790475904814,0.390751188464321,68.8128596659769,-144
3,3,coordinated,delayed_coordination,-5.84479127049065,15.638254298573,88.053641627994,-102
4,4,early_mover,sequential,3.58317040953293,-7.14696868657566,20.2225458162677,50
4,4,early_mover,coordinated,7.64009042972954,-47.0008834988551,-109.375605606315,300
4,4,early_mover,delayed_coordination,2.63766103049853,10.6265287901364,55.4950883781564,-149
4,4,sequential,coordinated,4.05692002019661,-39.8539148122794,-129.598151422583,250
4,4,sequential,delayed_coordination,-0.945509379034391,17.773497476712,35.2725425618887,-199
