recovery_horizon,scenario_A,scenario_B,delta_final_fitness_A_minus_B,delta_final_risk_A_minus_B,delta_final_trade_A_minus_B,delta_switches_A_minus_B
3,early_mover,sequential,-0.340650027427642,24.7558262266916,80.0808931019408,2
3,early_mover,coordinated,0.377526316251135,29.1704326063459,79.5251555609252,-77
3,early_mover,delayed_coordination,-0.382247087758884,13.7360236529381,78.2099567153321,-68
3,sequential,coordinated,0.718176343678778,4.41460637965434,-0.55573754101556,-79
3,sequential,delayed_coordination,-0.0415970603312417,-11.0198025737535,-1.87093638660872,-70
3,coordinated,delayed_coordination,-0.759773404010019,-15.4344089534079,-1.31519884559316,9
5,early_mover,sequential,3.16442052284859,5.1619045574424,21.4539824531923,35
5,early_mover,coordinated,3.54221694315379,-0.919158565133813,-27.5057815068315,124
5,early_mover,delayed_coordination,1.31817323635869,19.5138272422279,50.7545144040853,-18
5,sequential,coordinated,0.377796420305202,-6.08106312257621,-48.9597639600238,89
5,sequential,delayed_coordination,-1.8462472864899,14.3519226847855,29.3005319508929,-53
5,coordinated,delayed_coordination,-2.2240437067951,20.4329858073617,78.2602959109167,-142
7,early_mover,sequential,0.0945222283606881,7.32137738031102,60.3522943393398,-48
7,early_mover,coordinated,3.21081996268336,3.45250091292215,12.4293857204948,193
7,early_mover,delayed_coordination,0.654171788727155,6.78299852079493,52.0597629293588,-63
7,sequential,coordinated,3.11629773432267,-3.86887646738887,-47.922908618845,241
7,sequential,delayed_coordination,0.559649560366466,-0.538378859516087,-8.29253140998094,-15
7,coordinated,delayed_coordination,-2.55664817395621,3.33049760787279,39.630377208864,-256
