recovery_horizon,scenario_id,scenario_name,GroupCount,mean_delta_risk,std_delta_risk,median_delta_risk,min_delta_risk,max_delta_risk,mean_volume_effect,std_volume_effect,median_volume_effect,min_volume_effect,max_volume_effect,mean_composition_effect,std_composition_effect,median_composition_effect,min_composition_effect,max_composition_effect,mean_volume_share_of_delta_risk,std_volume_share_of_delta_risk,median_volume_share_of_delta_risk,min_volume_share_of_delta_risk,max_volume_share_of_delta_risk,mean_composition_share_of_delta_risk,std_composition_share_of_delta_risk,median_composition_share_of_delta_risk,min_composition_share_of_delta_risk,max_composition_share_of_delta_risk,mean_trade_policy,std_trade_policy,median_trade_policy,min_trade_policy,max_trade_policy,mean_trade_baseline,std_trade_baseline,median_trade_baseline,min_trade_baseline,max_trade_baseline,mean_weighted_deforestation_intensity_policy,std_weighted_deforestation_intensity_policy,median_weighted_deforestation_intensity_policy,min_weighted_deforestation_intensity_policy,max_weighted_deforestation_intensity_policy,mean_weighted_deforestation_intensity_baseline,std_weighted_deforestation_intensity_baseline,median_weighted_deforestation_intensity_baseline,min_weighted_deforestation_intensity_baseline,max_weighted_deforestation_intensity_baseline
3,coordinated,Coordinated,100,-105.203092342473,20.7735418529001,-105.679159796217,-151.712862329911,-37.130751334556,-107.008910118925,17.9542543284206,-107.185432138935,-143.406598035658,-51.7215337512294,1.80581777645217,14.2148719901544,2.13737653416222,-30.5931937063238,36.5909236108638,1.03606262054068,0.156727315509907,1.01795648619676,0.717211517480878,1.61414180944737,-0.0360626205406807,0.156727315509908,-0.0179564861967561,-0.61414180944737,0.282788482519122,1765.86847806539,101.274212545223,1760.25336352573,1578.05317880802,2044.08435959959,2494.94602690022,77.0801105621923,2495.30453335466,2339.96333368304,2679.86493604967,0.147159566511748,0.00777227692721652,0.146057028732253,0.134095338494325,0.164219003116429,0.146307522544455,0.00560016680411448,0.146109359408645,0.132499262264637,0.15932801525721
3,delayed_coordination,Delayed Coordination,100,-113.427100387297,20.6181067309732,-114.553581816901,-156.597956558886,-51.5988349217673,-114.477824558879,18.339808722406,-117.290681636533,-149.668883665091,-53.0519608718228,1.05072417158205,14.7867186853419,1.66829219593624,-33.1518962208124,34.3244928505905,1.02318806020249,0.144478211277237,1.01530596666819,0.746602903215352,1.42110718975471,-0.0231880602024888,0.144478211277237,-0.0153059666681877,-0.42110718975471,0.253397096784648,1714.64508376603,104.415788852146,1701.81188903918,1506.21327567624,2125.10624888773,2494.94602690022,77.0801105621923,2495.30453335466,2339.96333368304,2679.86493604967,0.146828930288148,0.00815065403997734,0.147258870163696,0.124064493190654,0.167278907680152,0.146307522544455,0.00560016680411448,0.146109359408645,0.132499262264637,0.15932801525721
3,early_mover,Early Mover,100,-104.707109870993,19.2997276669313,-105.993613028301,-145.650471741741,-42.4599947147106,-106.764169632553,16.652155201502,-109.936686225795,-136.6455644191,-57.2897492942571,2.05705976155999,14.6134078669519,3.2295161399668,-33.6919272129746,31.3037805310422,1.0374031591424,0.160319494097849,1.03127480973036,0.742639307581149,1.65020736692818,-0.0374031591424037,0.160319494097849,-0.0312748097303604,-0.650207366928176,0.257360692418852,1768.39293296613,101.057209335105,1757.22667698989,1576.14527259914,2095.02968914752,2494.94602690022,77.0801105621923,2495.30453335466,2339.96333368304,2679.86493604967,0.147286420854815,0.00853210727837196,0.146267732631413,0.130063568325527,0.17264655193415,0.146307522544455,0.00560016680411448,0.146109359408645,0.132499262264637,0.15932801525721
3,sequential,Sequential,100,-111.945314483559,22.3619044294242,-112.805524294797,-152.000529569197,-58.0564762236642,-113.353754198412,18.1614306337107,-116.124693800144,-145.598815927925,-58.9256990720381,1.40843971485282,14.9577140233033,1.12248598948142,-39.0680364975167,31.2691082177566,1.02985598557139,0.140741846976632,1.01101179988982,0.742820320386579,1.32944083921339,-0.029855985571387,0.140741846976632,-0.0110117998898248,-0.329440839213386,0.257179679613421,1722.3154141588,108.608478451592,1715.54434398988,1529.38817890055,2082.52299747535,2494.94602690022,77.0801105621923,2495.30453335466,2339.96333368304,2679.86493604967,0.146957264287467,0.00801140858545139,0.147162765410925,0.127244040082911,0.166200271642532,0.146307522544455,0.00560016680411448,0.146109359408645,0.132499262264637,0.15932801525721
5,coordinated,Coordinated,100,-108.307452495433,21.4131342964912,-108.604619224737,-165.736769953287,-37.2076900962753,-110.056134200743,16.2565404622614,-110.274970980965,-140.554229725808,-67.3809030731557,1.7486817053095,16.1043093362477,1.50956616681155,-38.847279663781,43.7143856770311,1.04180822741117,0.182994792039987,1.01378848165934,0.741423216117194,1.9028150746684,-0.0418082274111649,0.182994792039987,-0.0137884816593386,-0.902815074668399,0.258576783882806,1742.81954177567,95.1464752752303,1738.91500686564,1534.069564103,1999.83402191748,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,0.147256853578736,0.00824982509772338,0.146689750676485,0.130729683678335,0.171493399723509,0.146428069897238,0.00561529556795388,0.145861019766152,0.129915930113533,0.159499900952619
5,delayed_coordination,Delayed Coordination,100,-115.567313419501,22.0148097713491,-118.806269051499,-166.034449449321,-39.8885908985212,-116.630665589811,17.542180878554,-118.14443619819,-149.84222797611,-70.247085037432,1.06335217030996,15.8413267149935,3.47210233842409,-35.9171268311904,45.1352020545948,1.032728959847,0.179398125976664,1.02667677080258,0.732713393442263,1.98769747451222,-0.0327289598470029,0.179398125976664,-0.0266767708025782,-0.987697474512217,0.267286606557737,1697.58437913567,99.9500530141091,1687.47211872377,1476.62069725131,1980.6193548954,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,0.146958213179786,0.00816149673651341,0.146782292954231,0.128294792426046,0.170702773622226,0.146428069897238,0.00561529556795388,0.145861019766152,0.129915930113533,0.159499900952619
5,early_mover,Early Mover,100,-106.070414975844,20.3194791409483,-108.50603163853,-150.463309141887,-36.7133485904547,-107.79142058505,15.1388941610959,-110.22823227192,-142.009798370781,-69.3422262575805,1.72100560920615,14.9286777750372,2.06626222197577,-30.9772227420268,36.8457820344983,1.04229966173427,0.185278115435437,1.02121721177046,0.794121085607553,1.94224502144024,-0.0422996617342722,0.185278115435437,-0.0212172117704578,-0.94224502144024,0.205878914392447,1758.13342859268,93.7359925544342,1751.27305899121,1573.44981533527,2044.59502613979,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,0.147264532303405,0.0086100178654068,0.146005961418217,0.127670052048424,0.174035845809714,0.146428069897238,0.00561529556795388,0.145861019766152,0.129915930113533,0.159499900952619
5,sequential,Sequential,100,-114.624290471025,20.7888667363198,-116.731812233164,-164.515369979918,-41.6594805514032,-115.910738121478,16.6197288468139,-118.681316172394,-148.113934781257,-73.8824769320665,1.28644765045276,15.1592580012476,2.39493156866364,-37.9300188708349,43.6390842335651,1.03258044519015,0.174291361511453,1.02075790431418,0.729645630403739,2.04751868376561,-0.0325804451901472,0.174291361511453,-0.0207579043141796,-1.04751868376561,0.270354369596261,1702.30136750253,98.5267187583009,1689.79741343926,1491.55251940278,1959.18151551147,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,0.147060240005377,0.00813621258497076,0.147560826123951,0.127723663028001,0.169141380623194,0.146428069897238,0.00561529556795388,0.145861019766152,0.129915930113533,0.159499900952619
7,coordinated,Coordinated,100,-109.644385603037,21.5331723508989,-111.284979924435,-157.994007748191,-48.1205305855372,-111.113528246698,18.3007175437315,-113.097156734887,-148.177499646882,-45.3109761600136,1.46914264366114,16.6925982164718,2.32960155047595,-41.9156538185988,42.2784867491246,1.03397884692025,0.178243702749664,1.01993142317476,0.679414128036278,1.59792734760911,-0.0339788469202522,0.178243702749664,-0.019931423174757,-0.597927347609112,0.320585871963723,1733.24853798923,105.579388358544,1714.41242836733,1522.84384314935,2116.5436063845,2491.09156224256,77.4234493910608,2493.2051632379,2318.43943329736,2663.57124059054,0.146891356021288,0.0085672338877468,0.146173282331317,0.128125943896865,0.168270878947732,0.146195498140746,0.00581057369623519,0.145652023649321,0.129740984253124,0.161354720894315
7,delayed_coordination,Delayed Coordination,100,-116.492955881994,19.4155242158656,-118.654226326437,-169.894085328482,-56.9950846387561,-118.41305116043,16.1380760963418,-118.631210055268,-149.291360793774,-67.8178837575863,1.92009527843595,14.6391196649008,3.53355051808653,-35.099389465278,34.7798593763098,1.0308879223437,0.136657171722229,1.03017756575139,0.735269493773514,1.47121622930904,-0.0308879223437041,0.136657171722229,-0.0301775657513867,-0.471216229309043,0.264730506226486,1684.1612402151,92.2060062513555,1679.30238204621,1502.90406464079,1963.33706107271,2491.09156224256,77.4234493910608,2493.2051632379,2318.43943329736,2663.57124059054,0.147111533364424,0.00830312442337642,0.147373048953112,0.121140378494158,0.165669929055044,0.146195498140746,0.00581057369623519,0.145652023649321,0.129740984253124,0.161354720894315
