replication,seed,policyPenalty,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
4,4,0.75,delayed_coordination,Delayed Coordination,118.967899094721,193.941920020731,1376.31043022301,246,5108,1177,3931
5,5,0.25,baseline,Baseline,125.947825705486,322.857785214549,2252.4175435453,123,3065,953,2112
5,5,0.25,early_mover,Early Mover,110.144735958767,311.532948332121,2174.87428807643,125,3056,1251,1805
5,5,0.25,sequential,Sequential,109.487088522894,309.351612743424,2163.04110946153,139,3132,1265,1867
5,5,0.25,coordinated,Coordinated,110.239578095308,303.506009455557,2139.36591028067,140,3259,1277,1982
5,5,0.25,delayed_coordination,Delayed Coordination,109.183600889011,313.369239673848,2170.38465534063,124,3090,1247,1843
5,5,0.5,baseline,Baseline,125.947825705486,322.857785214549,2252.4175435453,123,3065,953,2112
5,5,0.5,early_mover,Early Mover,122.583371007061,229.244074813513,1584.74741782114,263,4901,1842,3059
5,5,0.5,sequential,Sequential,121.830161714466,216.83029685136,1513.16409025047,275,5053,1876,3177
5,5,0.5,coordinated,Coordinated,115.942643012108,227.454609870623,1638.02681277521,219,4620,1829,2791
5,5,0.5,delayed_coordination,Delayed Coordination,122.692295111273,217.538794376581,1518.41196289592,275,5036,1930,3106
5,5,0.75,baseline,Baseline,125.947825705486,322.857785214549,2252.4175435453,123,3065,953,2112
5,5,0.75,early_mover,Early Mover,125.461165688629,220.796587704391,1379.73583849431,241,5210,1156,4054
5,5,0.75,sequential,Sequential,122.59330221383,213.80623764686,1329.13232267259,258,5248,1204,4044
5,5,0.75,coordinated,Coordinated,119.51664685939,190.098986474234,1334.0762036175,276,5378,1384,3994
5,5,0.75,delayed_coordination,Delayed Coordination,121.530158642208,216.777869223627,1334.33665355395,247,5243,1202,4041
6,6,0.25,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,0.25,early_mover,Early Mover,115.721388042929,314.079297808241,2150.29986299933,160,3296,1483,1813
6,6,0.25,sequential,Sequential,112.791985193942,315.287904709826,2154.60437422423,155,3205,1443,1762
6,6,0.25,coordinated,Coordinated,113.347505737745,326.061796173314,2159.19111430162,141,3173,1378,1795
6,6,0.25,delayed_coordination,Delayed Coordination,113.78879870818,316.011178353073,2118.13212517558,161,3271,1439,1832
6,6,0.5,baseline,Baseline,125.985308644577,335.851783949464,2301.96893204739,110,2718,1065,1653
6,6,0.5,early_mover,Early Mover,127.156243648825,244.243487018803,1597.6019806683,259,4883,1712,3171
6,6,0.5,sequential,Sequential,123.210791103839,231.186094663746,1542.7781262703,264,4884,1716,3168
