replication,seed,policy_penalty,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
4,4,0.75,delayed_coordination,Delayed Coordination,-7.15258504627347,-109.657804697597,-911.607214253706,127,2254
5,5,0.25,baseline,Baseline,0,0,0,0,0
5,5,0.25,early_mover,Early Mover,-15.8030897467186,-11.3248368824281,-77.5432554688714,2,-9
5,5,0.25,sequential,Sequential,-16.460737182592,-13.5061724711254,-89.3764340837724,16,67
5,5,0.25,coordinated,Coordinated,-15.7082476101781,-19.3517757589917,-113.051633264633,17,194
5,5,0.25,delayed_coordination,Delayed Coordination,-16.7642248164747,-9.4885455407009,-82.0328882046742,1,25
5,5,0.5,baseline,Baseline,0,0,0,0,0
5,5,0.5,early_mover,Early Mover,-3.36445469842485,-93.613710401036,-667.670125724165,140,1836
5,5,0.5,sequential,Sequential,-4.11766399101948,-106.027488363189,-739.253453294835,152,1988
5,5,0.5,coordinated,Coordinated,-10.005182693378,-95.4031753439266,-614.390730770093,96,1555
5,5,0.5,delayed_coordination,Delayed Coordination,-3.2555305942129,-105.318990837968,-734.005580649379,152,1971
5,5,0.75,baseline,Baseline,0,0,0,0,0
5,5,0.75,early_mover,Early Mover,-0.486660016856661,-102.061197510158,-872.681705050995,118,2145
5,5,0.75,sequential,Sequential,-3.3545234916559,-109.051547567689,-923.28522087271,135,2183
5,5,0.75,coordinated,Coordinated,-6.43117884609622,-132.758798740315,-918.341339927802,153,2313
5,5,0.75,delayed_coordination,Delayed Coordination,-4.41766706327829,-106.079915990923,-918.080889991347,124,2178
6,6,0.25,baseline,Baseline,0,0,0,0,0
6,6,0.25,early_mover,Early Mover,-10.263920601648,-21.7724861412231,-151.669069048055,50,578
6,6,0.25,sequential,Sequential,-13.1933234506349,-20.5638792396375,-147.364557823154,45,487
6,6,0.25,coordinated,Coordinated,-12.6378029068319,-9.78998777614942,-142.77781774577,31,455
6,6,0.25,delayed_coordination,Delayed Coordination,-12.1965099363968,-19.840605596391,-183.836806871808,51,553
6,6,0.5,baseline,Baseline,0,0,0,0,0
6,6,0.5,early_mover,Early Mover,1.1709350042487,-91.608296930661,-704.366951379088,149,2165
6,6,0.5,sequential,Sequential,-2.77451754073735,-104.665689285718,-759.190805777084,154,2166
6,6,0.5,coordinated,Coordinated,-10.5856230431845,-72.3475083414783,-597.691892548191,124,1930
6,6,0.5,delayed_coordination,Delayed Coordination,-2.73476898623976,-96.2478288528851,-725.383965878586,146,2162
6,6,0.75,baseline,Baseline,0,0,0,0,0
6,6,0.75,early_mover,Early Mover,1.02993977817844,-115.031947813841,-838.379151772087,128,2241
6,6,0.75,sequential,Sequential,3.89877509539959,-158.102098287515,-1012.34396474631,187,2638
6,6,0.75,coordinated,Coordinated,-13.3331471816148,-116.685524442904,-729.483868556683,120,1910
6,6,0.75,delayed_coordination,Delayed Coordination,-2.49134445363738,-150.612562077297,-953.989272323155,132,2132
7,7,0.25,baseline,Baseline,0,0,0,0,0
7,7,0.25,early_mover,Early Mover,-12.8787154295749,-16.4334827464622,-87.1685254870786,-3,98
7,7,0.25,sequential,Sequential,-12.4313919976939,-17.4152195991442,-143.108881375229,22,319
7,7,0.25,coordinated,Coordinated,-10.5921745410099,-39.1270830413443,-164.934041649937,28,378
7,7,0.25,delayed_coordination,Delayed Coordination,-14.205854097101,-17.0888605491066,-106.539742330468,27,238
7,7,0.5,baseline,Baseline,0,0,0,0,0
7,7,0.5,early_mover,Early Mover,-1.50670828241607,-66.4565101928742,-621.006737945915,144,2167
7,7,0.5,sequential,Sequential,-4.31190055043859,-76.1521454051792,-678.962619988779,146,2151
7,7,0.5,coordinated,Coordinated,-4.88596480509622,-74.0622167121532,-677.289462133623,140,2152
7,7,0.5,delayed_coordination,Delayed Coordination,-5.37149067644393,-69.4118681074999,-662.43060048833,154,2168
7,7,0.75,baseline,Baseline,0,0,0,0,0
7,7,0.75,early_mover,Early Mover,6.66462104009577,-113.964449929027,-876.788608750863,158,2526
7,7,0.75,sequential,Sequential,-5.61811331049557,-99.6148269242869,-872.719947253059,125,2103
7,7,0.75,coordinated,Coordinated,-18.2629658554245,-68.1499094541436,-718.827809239456,105,1665
7,7,0.75,delayed_coordination,Delayed Coordination,-0.74836495019504,-118.043600369554,-930.783821124533,162,2398
8,8,0.25,baseline,Baseline,0,0,0,0,0
8,8,0.25,early_mover,Early Mover,-11.9125244151629,-18.6071903316497,-188.455293846637,38,540
8,8,0.25,sequential,Sequential,-12.5649307370314,-23.2719350232684,-227.722939376251,51,564
8,8,0.25,coordinated,Coordinated,-11.2034657319342,-31.6494656475124,-225.505125017156,49,645
8,8,0.25,delayed_coordination,Delayed Coordination,-11.9070845666427,-35.5777484846632,-236.953278156611,49,569
8,8,0.5,baseline,Baseline,0,0,0,0,0
8,8,0.5,early_mover,Early Mover,-4.4116223540637,-95.0400921419345,-708.105223947755,138,2219
8,8,0.5,sequential,Sequential,-6.99778936634547,-97.1696400884534,-737.098033726259,130,2172
8,8,0.5,coordinated,Coordinated,-6.70831690403841,-105.756667954379,-756.602037302672,142,2141
8,8,0.5,delayed_coordination,Delayed Coordination,-6.93546495305372,-99.8244366607054,-736.801498709686,135,2239
8,8,0.75,baseline,Baseline,0,0,0,0,0
8,8,0.75,early_mover,Early Mover,-14.2546094782332,-98.9723953954022,-804.19807091745,106,1881
8,8,0.75,sequential,Sequential,-18.6981601759889,-99.6230404270284,-848.661899250334,92,1705
8,8,0.75,coordinated,Coordinated,-30.703612311591,-86.905123510867,-635.49655352657,44,965
8,8,0.75,delayed_coordination,Delayed Coordination,-18.7357136113699,-99.4391246152896,-823.728629970295,87,1664
9,9,0.25,baseline,Baseline,0,0,0,0,0
9,9,0.25,early_mover,Early Mover,-10.1059093901495,-28.4503884589486,-164.016712458123,23,314
9,9,0.25,sequential,Sequential,-12.228172916407,-31.1799483384879,-189.193177773613,26,266
9,9,0.25,coordinated,Coordinated,-12.6393805886016,-16.1511194264771,-145.898993419163,11,141
9,9,0.25,delayed_coordination,Delayed Coordination,-12.6532378748152,-27.8837957160997,-170.335925159623,11,219
9,9,0.5,baseline,Baseline,0,0,0,0,0
9,9,0.5,early_mover,Early Mover,-1.63109087785352,-96.4672543732333,-687.565245406903,125,1920
9,9,0.5,sequential,Sequential,-5.67488832336203,-98.8877443877467,-717.000016916948,117,1866
9,9,0.5,coordinated,Coordinated,-9.82656087463552,-83.103115439401,-634.087058317889,132,1811
9,9,0.5,delayed_coordination,Delayed Coordination,-7.09369394827162,-91.7459628555991,-693.043750935502,116,1803
9,9,0.75,baseline,Baseline,0,0,0,0,0
9,9,0.75,early_mover,Early Mover,2.9764295295068,-130.383961659862,-886.491811085481,133,2170
9,9,0.75,sequential,Sequential,-10.2734531913105,-109.041072399622,-827.700938673745,84,1647
9,9,0.75,coordinated,Coordinated,-11.7932574876165,-102.712980058806,-807.662685799343,91,1735
9,9,0.75,delayed_coordination,Delayed Coordination,-3.58612341960472,-133.495370995361,-903.292563176357,108,1828
10,10,0.25,baseline,Baseline,0,0,0,0,0
10,10,0.25,early_mover,Early Mover,-12.9539054186732,-3.73765311446317,-81.2676489111086,6,84
10,10,0.25,sequential,Sequential,-12.2273351008344,-20.5900191656698,-158.160058651188,33,278
10,10,0.25,coordinated,Coordinated,-11.1338368893451,-5.33665234376656,-160.352772849107,33,396
10,10,0.25,delayed_coordination,Delayed Coordination,-11.6951176145028,-22.1300386939853,-159.82117549597,28,254
10,10,0.5,baseline,Baseline,0,0,0,0,0
10,10,0.5,early_mover,Early Mover,-8.91176054490273,-82.7730882543181,-532.277899559797,106,1388
10,10,0.5,sequential,Sequential,-12.6176082673751,-70.7466519345382,-577.923852628935,106,1345
10,10,0.5,coordinated,Coordinated,-10.3151716029157,-84.6764503798273,-580.517035992158,123,1682
10,10,0.5,delayed_coordination,Delayed Coordination,-11.105218298646,-83.5071537982347,-581.526328207798,122,1534
10,10,0.75,baseline,Baseline,0,0,0,0,0
10,10,0.75,early_mover,Early Mover,-15.9455094396243,-66.4868168603464,-613.405578996136,83,1370
10,10,0.75,sequential,Sequential,-20.8223573948314,-67.3167366035235,-685.568496635764,81,1354
10,10,0.75,coordinated,Coordinated,-17.5986324389715,-74.6725161072956,-703.975244497685,87,1532
10,10,0.75,delayed_coordination,Delayed Coordination,-22.089164138847,-67.9697095664034,-664.830010998037,70,1341
11,11,0.25,baseline,Baseline,0,0,0,0,0
11,11,0.25,early_mover,Early Mover,-10.5493038477366,-17.2263038334599,-141.134770340164,41,396
11,11,0.25,sequential,Sequential,-11.9707319571431,-22.2418397055212,-161.286238054488,40,367
11,11,0.25,coordinated,Coordinated,-14.1983985311512,-12.7635069597249,-110.042260422814,10,212
11,11,0.25,delayed_coordination,Delayed Coordination,-12.8227791436321,-20.0901230732391,-149.614600339713,33,392
11,11,0.5,baseline,Baseline,0,0,0,0,0
11,11,0.5,early_mover,Early Mover,-9.28377704714551,-85.448663109995,-560.95426533768,129,1783
11,11,0.5,sequential,Sequential,-11.1546631404557,-90.4821513470634,-576.72042726566,126,1773
11,11,0.5,coordinated,Coordinated,-9.58598067696354,-91.0842657344511,-575.046816086084,145,1925
11,11,0.5,delayed_coordination,Delayed Coordination,-11.072532710196,-88.9146413189342,-595.137952828522,144,1810
11,11,0.75,baseline,Baseline,0,0,0,0,0
11,11,0.75,early_mover,Early Mover,7.29585649882107,-129.016969406497,-946.995599194724,168,2860
11,11,0.75,sequential,Sequential,6.22526825953933,-156.053993204728,-1044.27361017005,191,2933
11,11,0.75,coordinated,Coordinated,-6.33140177362087,-133.253073219968,-897.937981803648,178,2375
11,11,0.75,delayed_coordination,Delayed Coordination,6.02171037018083,-150.85340566804,-1024.70559964838,195,2886
12,12,0.25,baseline,Baseline,0,0,0,0,0
12,12,0.25,early_mover,Early Mover,-13.3733176895449,-22.2697168944561,-82.6411780096041,25,238
12,12,0.25,sequential,Sequential,-14.8357831488295,-33.9626291746605,-166.743212480721,34,349
12,12,0.25,coordinated,Coordinated,-14.6644878507415,-36.5175866425295,-137.526067211028,11,148
12,12,0.25,delayed_coordination,Delayed Coordination,-14.630957443579,-26.7892817434214,-120.478837510926,30,312
12,12,0.5,baseline,Baseline,0,0,0,0,0
12,12,0.5,early_mover,Early Mover,-6.04750790587083,-97.9135527258766,-617.095836611094,139,1962
12,12,0.5,sequential,Sequential,-8.04403643804496,-111.188474015715,-691.598897698571,154,2146
12,12,0.5,coordinated,Coordinated,-11.0170645055877,-96.7050764095196,-586.449955276273,118,1917
12,12,0.5,delayed_coordination,Delayed Coordination,-9.14802930871059,-114.346778400376,-682.939702814175,140,2039
12,12,0.75,baseline,Baseline,0,0,0,0,0
12,12,0.75,early_mover,Early Mover,1.03476534978773,-137.463597328873,-935.837507421956,147,2488
12,12,0.75,sequential,Sequential,-2.06554104803332,-155.087758726883,-1018.26210437486,154,2499
12,12,0.75,coordinated,Coordinated,-17.3525493144502,-126.988321585921,-812.814050841097,113,1881
12,12,0.75,delayed_coordination,Delayed Coordination,-4.23575643765139,-146.774872429979,-983.348750605407,134,2435
13,13,0.25,baseline,Baseline,0,0,0,0,0
13,13,0.25,early_mover,Early Mover,-14.0960321265195,-12.2157324280914,-55.0374009063289,5,45
13,13,0.25,sequential,Sequential,-15.6915266986431,-16.6867732446785,-73.6651622842205,16,103
13,13,0.25,coordinated,Coordinated,-15.7064565438742,-15.8585530362475,-88.9685042536166,1,131
13,13,0.25,delayed_coordination,Delayed Coordination,-13.9943805993345,-19.2198016853325,-105.301608745037,18,167
13,13,0.5,baseline,Baseline,0,0,0,0,0
13,13,0.5,early_mover,Early Mover,-6.96082949329558,-100.368961414981,-610.193688877763,139,1963
13,13,0.5,sequential,Sequential,-7.91865606113539,-112.017788858234,-663.486740137933,152,2089
13,13,0.5,coordinated,Coordinated,-6.99230551629215,-112.595467473921,-676.165929769289,166,2040
13,13,0.5,delayed_coordination,Delayed Coordination,-8.95977951031408,-107.386712026489,-652.155567409457,153,2024
13,13,0.75,baseline,Baseline,0,0,0,0,0
13,13,0.75,early_mover,Early Mover,-4.11399446415342,-134.538189975355,-848.214195677962,139,2387
13,13,0.75,sequential,Sequential,-9.1497824607667,-126.535685599606,-892.70097994389,123,2176
13,13,0.75,coordinated,Coordinated,-23.8913995298871,-100.925536115728,-705.680307307884,77,1264
13,13,0.75,delayed_coordination,Delayed Coordination,-9.5961534243787,-128.970623465242,-901.173176781371,129,2168
14,14,0.25,baseline,Baseline,0,0,0,0,0
14,14,0.25,early_mover,Early Mover,-11.6798419956657,-20.2874930878113,-96.0272747931808,42,343
14,14,0.25,sequential,Sequential,-12.8826079539394,-19.7188045212591,-130.462070673001,44,252
14,14,0.25,coordinated,Coordinated,-16.1684214078544,-14.2865776128544,-39.3920028004623,8,-24
14,14,0.25,delayed_coordination,Delayed Coordination,-13.2173853085316,-28.2693153592248,-108.834156355292,22,172
14,14,0.5,baseline,Baseline,0,0,0,0,0
14,14,0.5,early_mover,Early Mover,-5.42231148600987,-85.6115542883341,-559.925734233298,140,1874
14,14,0.5,sequential,Sequential,-11.3577410390899,-84.3289487943392,-559.631517384505,148,1800
14,14,0.5,coordinated,Coordinated,-9.63695239487927,-84.8360311957554,-580.125131236097,166,1915
14,14,0.5,delayed_coordination,Delayed Coordination,-8.5760836304827,-88.772216505771,-593.682287608281,156,1931
14,14,0.75,baseline,Baseline,0,0,0,0,0
14,14,0.75,early_mover,Early Mover,-6.78258395418158,-101.171260305333,-711.859290473759,103,1822
14,14,0.75,sequential,Sequential,-9.59535699966693,-103.734112809435,-784.845626132856,132,2001
14,14,0.75,coordinated,Coordinated,-9.61442168707038,-117.010475457741,-779.609789170923,135,2106
14,14,0.75,delayed_coordination,Delayed Coordination,-10.111891785162,-106.05124586798,-796.620238117177,124,1916
15,15,0.25,baseline,Baseline,0,0,0,0,0
15,15,0.25,early_mover,Early Mover,-9.08403662855696,-11.8024304232391,-153.282937423978,29,416
15,15,0.25,sequential,Sequential,-9.98999288718835,-25.4388378450049,-237.401273230322,61,648
15,15,0.25,coordinated,Coordinated,-11.8095704271638,-23.2014310809559,-190.61191597836,48,618
15,15,0.25,delayed_coordination,Delayed Coordination,-11.3830548809941,-24.5369682882509,-204.45142861194,39,499
15,15,0.5,baseline,Baseline,0,0,0,0,0
15,15,0.5,early_mover,Early Mover,-3.34234384397294,-86.5772606729905,-644.24375608899,149,2121
15,15,0.5,sequential,Sequential,-2.7885425562019,-106.167491756264,-722.137740359469,153,2239
15,15,0.5,coordinated,Coordinated,-4.41031382484474,-103.135090781354,-696.852386935578,158,2174
15,15,0.5,delayed_coordination,Delayed Coordination,-4.14972674227462,-99.2492730390977,-706.805222764974,147,2212
15,15,0.75,baseline,Baseline,0,0,0,0,0
15,15,0.75,early_mover,Early Mover,4.26528943325712,-164.14489056432,-962.288494687009,158,2609
15,15,0.75,sequential,Sequential,-12.439440191759,-166.845303686562,-926.523013163497,118,2159
15,15,0.75,coordinated,Coordinated,-20.4118318968834,-137.508319078287,-736.450901894749,99,1600
15,15,0.75,delayed_coordination,Delayed Coordination,-8.74078429691436,-170.228073364587,-983.025190051693,130,2338
16,16,0.25,baseline,Baseline,0,0,0,0,0
16,16,0.25,early_mover,Early Mover,-13.9356020499144,-15.4838949697454,-127.359152969089,4,77
16,16,0.25,sequential,Sequential,-15.2432524881376,-17.6350265230151,-125.204806975119,-15,-58
16,16,0.25,coordinated,Coordinated,-14.6156754275353,-21.4435884033728,-141.78401182415,7,94
16,16,0.25,delayed_coordination,Delayed Coordination,-15.4648042219942,-19.064103168832,-138.428871203523,4,71
16,16,0.5,baseline,Baseline,0,0,0,0,0
16,16,0.5,early_mover,Early Mover,-0.272616451296102,-76.9635685669395,-640.210314925696,136,2145
16,16,0.5,sequential,Sequential,-1.65270159127518,-82.2626463575994,-700.515334253965,150,2202
16,16,0.5,coordinated,Coordinated,-10.1065552710955,-75.0523386492245,-599.952677840528,94,1526
16,16,0.5,delayed_coordination,Delayed Coordination,0.333054511899405,-89.4452894864029,-731.778847493604,161,2296
16,16,0.75,baseline,Baseline,0,0,0,0,0
16,16,0.75,early_mover,Early Mover,8.54854069786481,-127.354435928018,-946.930091441777,158,2459
16,16,0.75,sequential,Sequential,8.24740484893337,-137.797306361719,-1031.57834941539,170,2591
16,16,0.75,coordinated,Coordinated,2.10853683588684,-133.90055972412,-961.279126990866,152,2276
16,16,0.75,delayed_coordination,Delayed Coordination,6.3003793304178,-130.041996591259,-993.768147716151,152,2451
17,17,0.25,baseline,Baseline,0,0,0,0,0
17,17,0.25,early_mover,Early Mover,-12.1189613892315,-19.9446866210318,-129.724178569046,37,363
17,17,0.25,sequential,Sequential,-13.0193041886354,-26.9099241299446,-172.719795947475,48,382
17,17,0.25,coordinated,Coordinated,-13.4297811356515,-28.9238175806689,-156.272254093247,46,366
17,17,0.25,delayed_coordination,Delayed Coordination,-13.4969104236164,-21.1090754963119,-153.453164574645,41,354
17,17,0.5,baseline,Baseline,0,0,0,0,0
17,17,0.5,early_mover,Early Mover,-2.24101669586672,-120.963167396846,-754.337308937538,165,2246
17,17,0.5,sequential,Sequential,-2.5340681867971,-124.331001085585,-812.230852213328,177,2280
17,17,0.5,coordinated,Coordinated,-9.61024638062784,-125.113959914887,-689.714361565241,166,2002
17,17,0.5,delayed_coordination,Delayed Coordination,0.706552092519644,-129.316582435015,-823.01730304248,183,2356
17,17,0.75,baseline,Baseline,0,0,0,0,0
17,17,0.75,early_mover,Early Mover,-7.51253052326683,-148.206326910347,-830.120778500492,114,2034
17,17,0.75,sequential,Sequential,-2.35575941058285,-163.3687549109,-990.809483703768,179,2505
17,17,0.75,coordinated,Coordinated,-8.25575292650103,-156.214535854216,-903.115376499585,149,2450
17,17,0.75,delayed_coordination,Delayed Coordination,-2.54465100992995,-165.821289287899,-1003.06767314813,165,2407
18,18,0.25,baseline,Baseline,0,0,0,0,0
18,18,0.25,early_mover,Early Mover,-11.510016936655,-10.5850854412203,-116.397949547221,27,374
18,18,0.25,sequential,Sequential,-12.2782199909342,-15.281306106573,-136.09778307702,26,320
18,18,0.25,coordinated,Coordinated,-12.9409015431713,-15.8684497520699,-156.809814029165,35,440
18,18,0.25,delayed_coordination,Delayed Coordination,-12.8328843050366,-14.6467886633448,-121.771392786875,35,357
18,18,0.5,baseline,Baseline,0,0,0,0,0
18,18,0.5,early_mover,Early Mover,-10.6128310509641,-56.4193565539755,-525.903862753731,116,1736
18,18,0.5,sequential,Sequential,-14.7813794581059,-58.866605208132,-540.805453269208,101,1467
18,18,0.5,coordinated,Coordinated,-12.2388294889369,-79.5769346685371,-588.608824831986,105,1687
18,18,0.5,delayed_coordination,Delayed Coordination,-13.1421102409452,-71.5948566221169,-593.443383715514,100,1597
18,18,0.75,baseline,Baseline,0,0,0,0,0
18,18,0.75,early_mover,Early Mover,-10.2807957220415,-113.786474698915,-787.363694331065,110,1837
18,18,0.75,sequential,Sequential,-19.878441163711,-119.694610519897,-766.620248869691,58,1251
18,18,0.75,coordinated,Coordinated,-27.2911855029365,-91.4726451621201,-592.755926403996,19,772
18,18,0.75,delayed_coordination,Delayed Coordination,-19.5819514263955,-116.772491656468,-776.194219264527,52,1274
19,19,0.25,baseline,Baseline,0,0,0,0,0
19,19,0.25,early_mover,Early Mover,-10.5950586283661,-33.8677429348941,-129.572004038179,44,293
19,19,0.25,sequential,Sequential,-13.3018065781652,-33.4475822407047,-115.85441015047,42,282
19,19,0.25,coordinated,Coordinated,-12.5350098025968,-32.0861170745528,-147.245745230366,51,370
19,19,0.25,delayed_coordination,Delayed Coordination,-13.1056246141407,-33.1299291174798,-121.555840890728,36,283
19,19,0.5,baseline,Baseline,0,0,0,0,0
19,19,0.5,early_mover,Early Mover,-3.07303673491832,-106.994599451573,-565.805564472956,137,1939
19,19,0.5,sequential,Sequential,-7.43585728213442,-107.827399484529,-594.711212223352,127,1951
19,19,0.5,coordinated,Coordinated,-9.15730708929084,-107.980220589796,-537.94615011946,119,1678
19,19,0.5,delayed_coordination,Delayed Coordination,-6.44166115978854,-111.734683669648,-596.94417553138,138,1982
19,19,0.75,baseline,Baseline,0,0,0,0,0
19,19,0.75,early_mover,Early Mover,9.43231022037045,-147.376536825342,-909.788813178906,159,2821
19,19,0.75,sequential,Sequential,0.288178357223956,-159.120612858728,-953.688398617533,170,2813
19,19,0.75,coordinated,Coordinated,-17.6722626080088,-125.147749742614,-696.581090748289,94,1784
19,19,0.75,delayed_coordination,Delayed Coordination,1.84047834516204,-153.160149801913,-950.067049901258,170,2829
20,20,0.25,baseline,Baseline,0,0,0,0,0
20,20,0.25,early_mover,Early Mover,-10.8661065511862,-19.1814250370456,-104.680478758965,-2,248
20,20,0.25,sequential,Sequential,-12.2300285407571,-20.8476237769253,-105.488325230824,11,350
20,20,0.25,coordinated,Coordinated,-13.3273341482905,-16.127246402012,-120.707346471247,1,201
20,20,0.25,delayed_coordination,Delayed Coordination,-12.2805625963843,-19.4980815136332,-114.191842497201,7,272
20,20,0.5,baseline,Baseline,0,0,0,0,0
20,20,0.5,early_mover,Early Mover,-11.4449626259986,-57.3421459079762,-502.34841446687,87,1409
20,20,0.5,sequential,Sequential,-9.98775781122619,-67.441334849934,-567.913221222715,108,1570
20,20,0.5,coordinated,Coordinated,-15.5682804660163,-63.212278133673,-433.143556371465,82,1326
20,20,0.5,delayed_coordination,Delayed Coordination,-15.6924466372812,-57.707123115264,-499.895729700294,73,1410
20,20,0.75,baseline,Baseline,0,0,0,0,0
20,20,0.75,early_mover,Early Mover,-2.56723617076661,-107.48646491262,-769.39182415246,125,2218
20,20,0.75,sequential,Sequential,-9.42721751845204,-113.896321502116,-781.317300420565,110,2076
20,20,0.75,coordinated,Coordinated,-14.7413427768522,-82.2774776116704,-727.023599940774,99,1956
20,20,0.75,delayed_coordination,Delayed Coordination,-9.49994907404923,-107.788043142106,-797.434224420649,120,2136
21,21,0.25,baseline,Baseline,0,0,0,0,0
21,21,0.25,early_mover,Early Mover,-8.66487248810763,-30.6077367557887,-122.419775959055,33,409
21,21,0.25,sequential,Sequential,-9.49238833850498,-32.0963540828309,-172.253023329722,38,451
