scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
baseline,Baseline,129.01617088731,340.068294606446,2289.11335323437,125,2871,1125,1746
early_mover,Early Mover,131.044388117767,248.528260355926,1595.36704312235,277,5303,1694,3609
sequential,Sequential,127.879967594918,243.366355798483,1573.91306066916,284,5268,1715,3553
coordinated,Coordinated,127.502171174613,249.447418921059,1622.87282462919,281,5179,1728,3451
delayed_coordination,Delayed Coordination,129.726214881408,229.014433113698,1544.61252871827,297,5321,1741,3580
