replication,seed,cost_regime,eL,eG,scenario_id,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_total_switches_vs_baseline
21,21,baseline,0.1,0.2,sequential,-5.39084933062125,-104.87003030694,-607.792008610822,2063
21,21,baseline,0.1,0.2,coordinated,-1.64810610441032,-117.842134889197,-643.52436544241,2220
21,21,baseline,0.1,0.2,delayed_coordination,-7.07154653481309,-102.829734132191,-600.407438594441,2059
21,21,high,0.2,0.4,baseline,0,0,0,0
21,21,high,0.2,0.4,early_mover,-19.1697860491242,-53.873222842333,-316.321486314528,1094
21,21,high,0.2,0.4,sequential,-21.5904195791842,-48.9293657842806,-345.29675067295,1061
21,21,high,0.2,0.4,coordinated,-22.398903467077,-50.766978474691,-325.231340498981,994
21,21,high,0.2,0.4,delayed_coordination,-21.5226615422698,-56.8396500323512,-352.025326358455,1190
22,22,low,0.05,0.1,baseline,0,0,0,0
22,22,low,0.05,0.1,early_mover,-3.60403734804319,-102.122507331604,-714.700198119931,1845
22,22,low,0.05,0.1,sequential,-2.24816763635886,-106.622620776844,-771.952154268717,1907
22,22,low,0.05,0.1,coordinated,-5.66710436186059,-87.0484783560073,-752.479664148039,1894
22,22,low,0.05,0.1,delayed_coordination,-3.06799129937582,-106.603250475176,-750.083077263828,1906
22,22,baseline,0.1,0.2,baseline,0,0,0,0
22,22,baseline,0.1,0.2,early_mover,-2.06024092511694,-112.64975413661,-760.781518004333,2308
22,22,baseline,0.1,0.2,sequential,-3.22268406408233,-110.608442014234,-784.824888424426,2404
22,22,baseline,0.1,0.2,coordinated,-3.27221194546362,-116.297552399313,-793.610996856388,2442
22,22,baseline,0.1,0.2,delayed_coordination,-2.85817758561998,-117.197980927359,-808.722080587421,2396
22,22,high,0.2,0.4,baseline,0,0,0,0
22,22,high,0.2,0.4,early_mover,-18.6014240322869,-46.9868380308999,-286.335760717519,901
22,22,high,0.2,0.4,sequential,-20.2338359816903,-45.6895721835206,-318.980975958811,995
22,22,high,0.2,0.4,coordinated,-17.295453977568,-57.0119115827647,-358.815853022374,1346
22,22,high,0.2,0.4,delayed_coordination,-19.7148710907366,-45.2435231812585,-326.179690672405,1023
23,23,low,0.05,0.1,baseline,0,0,0,0
23,23,low,0.05,0.1,early_mover,8.34943372519024,-129.896461540281,-845.835766596766,2661
23,23,low,0.05,0.1,sequential,10.2580825328111,-137.486113210461,-902.573572132333,2727
23,23,low,0.05,0.1,coordinated,5.23902027491548,-116.004820179797,-812.659099864854,2537
23,23,low,0.05,0.1,delayed_coordination,7.39414617408323,-133.746569132045,-877.705533604689,2607
23,23,baseline,0.1,0.2,baseline,0,0,0,0
23,23,baseline,0.1,0.2,early_mover,-4.81780104906261,-68.8765204294194,-647.331502594238,2150
23,23,baseline,0.1,0.2,sequential,-3.70626700031281,-79.4702930230861,-722.947664820894,2202
23,23,baseline,0.1,0.2,coordinated,-5.7115804075919,-85.4738814994631,-706.941753991134,2161
23,23,baseline,0.1,0.2,delayed_coordination,-4.11430053909393,-79.8079895589375,-725.276330059869,2234
23,23,high,0.2,0.4,baseline,0,0,0,0
23,23,high,0.2,0.4,early_mover,-21.5266167195855,-19.9807926712207,-200.402743052352,660
23,23,high,0.2,0.4,sequential,-23.9984185223616,-30.7899086861378,-259.600250697591,762
23,23,high,0.2,0.4,coordinated,-26.0337512729638,-26.0736804419584,-215.963396974807,733
23,23,high,0.2,0.4,delayed_coordination,-24.6790490350251,-37.2822233105643,-287.414568748145,794
24,24,low,0.05,0.1,baseline,0,0,0,0
24,24,low,0.05,0.1,early_mover,7.45406985272646,-133.867937537689,-747.23147120592,2359
24,24,low,0.05,0.1,sequential,6.050869736918,-131.501639601654,-783.745281197169,2354
24,24,low,0.05,0.1,coordinated,0.174704661742368,-121.756126709784,-701.107211948971,2005
24,24,low,0.05,0.1,delayed_coordination,6.68504528334844,-142.008338777802,-790.042164196103,2367
24,24,baseline,0.1,0.2,baseline,0,0,0,0
24,24,baseline,0.1,0.2,early_mover,-3.9907866546352,-99.7019208278578,-640.081738966343,2016
24,24,baseline,0.1,0.2,sequential,-6.5460810268246,-102.937470528032,-680.59715529344,1824
24,24,baseline,0.1,0.2,coordinated,-11.8014310825671,-90.7284108166322,-589.519110741937,1546
24,24,baseline,0.1,0.2,delayed_coordination,-6.30648061656495,-110.077834910366,-698.76773598634,1973
24,24,high,0.2,0.4,baseline,0,0,0,0
24,24,high,0.2,0.4,early_mover,-17.2544046842316,-59.0578611396603,-348.734184278426,1085
24,24,high,0.2,0.4,sequential,-20.0422398414971,-71.9107641108864,-441.998418192456,1209
24,24,high,0.2,0.4,coordinated,-20.7298747478937,-67.5114984981416,-369.630223738391,877
24,24,high,0.2,0.4,delayed_coordination,-16.4123339200746,-77.3019380546407,-501.447930807601,1414
25,25,low,0.05,0.1,baseline,0,0,0,0
25,25,low,0.05,0.1,early_mover,3.59938357789656,-77.7917654519106,-663.921079861991,1775
25,25,low,0.05,0.1,sequential,1.87178988058247,-80.4357709907043,-692.776964976895,1914
25,25,low,0.05,0.1,coordinated,-0.454544101268027,-71.2777562918367,-634.639124738403,1677
25,25,low,0.05,0.1,delayed_coordination,-3.73282631775501,-67.043653749638,-616.806831217852,1611
25,25,baseline,0.1,0.2,baseline,0,0,0,0
25,25,baseline,0.1,0.2,early_mover,-7.87614331704087,-61.4914130783636,-497.640456849482,1439
25,25,baseline,0.1,0.2,sequential,-8.17954948421323,-70.112134501069,-585.727294819201,1561
25,25,baseline,0.1,0.2,coordinated,-6.62717607703934,-59.7525203427187,-562.469892256589,1508
25,25,baseline,0.1,0.2,delayed_coordination,-11.3877274693518,-64.3227776060345,-525.760251388225,1347
25,25,high,0.2,0.4,baseline,0,0,0,0
25,25,high,0.2,0.4,early_mover,-16.5679318353251,-45.4634357137527,-278.286115781606,640
25,25,high,0.2,0.4,sequential,-20.6522688104986,-53.2111502881449,-279.782699087615,593
25,25,high,0.2,0.4,coordinated,-21.8277827247143,-35.4951155515158,-246.835650141349,738
25,25,high,0.2,0.4,delayed_coordination,-20.767569973572,-47.2619507240001,-254.009847085585,594
26,26,low,0.05,0.1,baseline,0,0,0,0
26,26,low,0.05,0.1,early_mover,13.2720486857152,-129.37021635375,-838.300603124638,2595
26,26,low,0.05,0.1,sequential,13.302228104199,-141.876591432385,-896.361813283434,2656
26,26,low,0.05,0.1,coordinated,9.11755647373323,-137.176048874185,-836.378187031246,2586
26,26,low,0.05,0.1,delayed_coordination,14.3581785960848,-141.6514202905,-916.686503593275,2695
26,26,baseline,0.1,0.2,baseline,0,0,0,0
26,26,baseline,0.1,0.2,early_mover,-2.65669522742873,-102.514183494294,-692.468902060586,1935
26,26,baseline,0.1,0.2,sequential,-2.74535137526425,-122.842885342442,-786.113139701103,2119
26,26,baseline,0.1,0.2,coordinated,-4.31288363210683,-119.234586276597,-738.315628984708,1990
26,26,baseline,0.1,0.2,delayed_coordination,-0.374816370247871,-118.221885567608,-788.850062995405,2177
26,26,high,0.2,0.4,baseline,0,0,0,0
26,26,high,0.2,0.4,early_mover,-19.4112741201086,-21.2282009344785,-238.257036042271,937
26,26,high,0.2,0.4,sequential,-19.477688693036,-38.3552249112685,-316.273130586598,1085
26,26,high,0.2,0.4,coordinated,-17.236414882493,-61.3539691129571,-397.294046296455,1264
26,26,high,0.2,0.4,delayed_coordination,-19.8289410802119,-40.852044669942,-340.417100626872,1049
27,27,low,0.05,0.1,baseline,0,0,0,0
27,27,low,0.05,0.1,early_mover,13.6708765876975,-129.887361278775,-825.392790069377,2694
27,27,low,0.05,0.1,sequential,7.94314602724288,-130.612692175883,-852.804167348309,2439
27,27,low,0.05,0.1,coordinated,5.65134400233543,-123.764273972509,-801.726912012607,2507
27,27,low,0.05,0.1,delayed_coordination,9.76443755323515,-133.89544773663,-866.745304777071,2658
27,27,baseline,0.1,0.2,baseline,0,0,0,0
27,27,baseline,0.1,0.2,early_mover,-2.27603375383988,-104.405323496226,-635.532894608391,2068
27,27,baseline,0.1,0.2,sequential,-7.68156532786527,-108.166785569147,-661.442619378088,1897
27,27,baseline,0.1,0.2,coordinated,-10.7567539792548,-92.3620877318907,-634.704257418507,1867
27,27,baseline,0.1,0.2,delayed_coordination,-7.74222190483061,-106.175761099747,-669.310595229703,2021
27,27,high,0.2,0.4,baseline,0,0,0,0
27,27,high,0.2,0.4,early_mover,-19.1675963211055,-44.4622267259217,-265.774091570938,832
27,27,high,0.2,0.4,sequential,-21.5358868122097,-51.3056776752827,-349.89559596226,991
27,27,high,0.2,0.4,coordinated,-25.2852456926207,-38.6121130416158,-260.208394524838,828
27,27,high,0.2,0.4,delayed_coordination,-21.4170416330947,-56.7934801109215,-358.959781488257,1041
28,28,low,0.05,0.1,baseline,0,0,0,0
28,28,low,0.05,0.1,early_mover,-0.838990422778778,-100.263539594113,-721.523102182578,2199
28,28,low,0.05,0.1,sequential,-1.07446770801434,-107.587614462885,-763.853809437463,2279
28,28,low,0.05,0.1,coordinated,-2.94242818894122,-104.36891609926,-719.986260301352,2081
28,28,low,0.05,0.1,delayed_coordination,-1.72776440313754,-98.8349943959341,-766.532365431543,2275
28,28,baseline,0.1,0.2,baseline,0,0,0,0
28,28,baseline,0.1,0.2,early_mover,-5.38093729575725,-97.1420241297304,-679.736778886466,1998
28,28,baseline,0.1,0.2,sequential,-4.90265801012106,-109.061679616315,-769.04880926506,2198
28,28,baseline,0.1,0.2,coordinated,-10.0460739413212,-101.636379552333,-675.866977847042,1999
28,28,baseline,0.1,0.2,delayed_coordination,-7.42006891330925,-103.3296097158,-713.376860564409,1984
28,28,high,0.2,0.4,baseline,0,0,0,0
28,28,high,0.2,0.4,early_mover,-18.6710441263154,-46.2319083786289,-282.693409987511,821
28,28,high,0.2,0.4,sequential,-19.6979994448311,-57.6714276518662,-334.412837658776,896
28,28,high,0.2,0.4,coordinated,-24.6818855604259,-33.4201653785335,-231.835291792283,519
28,28,high,0.2,0.4,delayed_coordination,-20.0222163195747,-56.591864840448,-330.136463037117,923
29,29,low,0.05,0.1,baseline,0,0,0,0
29,29,low,0.05,0.1,early_mover,5.15406494975252,-96.5250624780846,-771.834491005299,2131
29,29,low,0.05,0.1,sequential,3.71780569925878,-101.385413093991,-826.964317986474,2111
29,29,low,0.05,0.1,coordinated,-2.3230514565021,-90.1440297366813,-642.264542867114,1628
29,29,low,0.05,0.1,delayed_coordination,2.61106527228233,-107.832021005242,-837.429456681104,2190
29,29,baseline,0.1,0.2,baseline,0,0,0,0
29,29,baseline,0.1,0.2,early_mover,-2.57799129105493,-88.6311842034859,-622.048872314138,1953
29,29,baseline,0.1,0.2,sequential,-3.19023282138519,-90.3360549610338,-710.702039590871,1979
29,29,baseline,0.1,0.2,coordinated,-5.77530591305421,-85.8304259372078,-665.141965350243,1964
29,29,baseline,0.1,0.2,delayed_coordination,-6.03087150713779,-90.1459247688067,-673.192134655905,1991
29,29,high,0.2,0.4,baseline,0,0,0,0
29,29,high,0.2,0.4,early_mover,-19.7903444897243,-33.8685193680633,-251.445077600541,700
29,29,high,0.2,0.4,sequential,-23.9260939862374,-40.6966345381263,-271.752271520805,709
29,29,high,0.2,0.4,coordinated,-24.1246494133042,-43.2603848732921,-244.677252187825,790
29,29,high,0.2,0.4,delayed_coordination,-21.3444238225745,-48.5336620751996,-358.502677740203,884
30,30,low,0.05,0.1,baseline,0,0,0,0
30,30,low,0.05,0.1,early_mover,0.171075296548395,-85.7500862144344,-628.885344811439,2116
30,30,low,0.05,0.1,sequential,-5.8957715540773,-75.0474942537757,-601.493764827385,1900
30,30,low,0.05,0.1,coordinated,-1.51851899268121,-102.479800935167,-660.850361239166,2048
30,30,low,0.05,0.1,delayed_coordination,-1.39864333924805,-90.2904606406197,-684.023709394943,2116
30,30,baseline,0.1,0.2,baseline,0,0,0,0
30,30,baseline,0.1,0.2,early_mover,-7.29238783618629,-81.5387785703878,-519.66708462957,1623
30,30,baseline,0.1,0.2,sequential,-9.14534172301924,-83.6662607011953,-592.304382265536,1709
30,30,baseline,0.1,0.2,coordinated,-11.3621389586348,-83.1400421213918,-535.699399609682,1694
30,30,baseline,0.1,0.2,delayed_coordination,-6.06460234631454,-91.8508039558637,-637.67752518845,1876
30,30,high,0.2,0.4,baseline,0,0,0,0
30,30,high,0.2,0.4,early_mover,-19.2771036752591,-36.423425829806,-242.187986427769,603
30,30,high,0.2,0.4,sequential,-22.0859296851022,-48.7386674259081,-288.539590443652,698
30,30,high,0.2,0.4,coordinated,-25.3748476248131,-35.9321227675596,-227.562376826571,574
30,30,high,0.2,0.4,delayed_coordination,-22.0724213696687,-48.2648782030016,-289.952358102591,725
31,31,low,0.05,0.1,baseline,0,0,0,0
31,31,low,0.05,0.1,early_mover,14.8576700116435,-122.916756980754,-859.435683241069,2713
31,31,low,0.05,0.1,sequential,7.84015148180507,-125.843762362363,-886.4061860478,2654
31,31,low,0.05,0.1,coordinated,7.02338644167295,-120.036836525336,-871.822555291352,2506
31,31,low,0.05,0.1,delayed_coordination,8.44560270057951,-123.757309848323,-886.364576856463,2668
31,31,baseline,0.1,0.2,baseline,0,0,0,0
31,31,baseline,0.1,0.2,early_mover,4.15249578607967,-105.369196761032,-747.262054122385,2406
31,31,baseline,0.1,0.2,sequential,-2.63329769480873,-105.679757215893,-765.848658226423,2346
31,31,baseline,0.1,0.2,coordinated,-9.67397497698568,-87.6696737180926,-660.607067594909,1681
31,31,baseline,0.1,0.2,delayed_coordination,-1.61957885903743,-111.172550599438,-779.872519098969,2389
31,31,high,0.2,0.4,baseline,0,0,0,0
31,31,high,0.2,0.4,early_mover,-16.5406940727984,-49.268894693682,-266.744480269308,834
31,31,high,0.2,0.4,sequential,-21.1945139997499,-56.4101295365465,-287.19057067785,859
31,31,high,0.2,0.4,coordinated,-22.8820138648716,-43.4631749294766,-256.923980620087,850
31,31,high,0.2,0.4,delayed_coordination,-21.2392103940221,-53.8466443750625,-276.602624863958,874
32,32,low,0.05,0.1,baseline,0,0,0,0
32,32,low,0.05,0.1,early_mover,8.5394459461601,-111.584273260206,-742.912905016217,2232
32,32,low,0.05,0.1,sequential,6.82014859319531,-122.354771253504,-771.974144047821,2110
32,32,low,0.05,0.1,coordinated,3.83880465201943,-112.587395651004,-768.362713550576,2147
32,32,low,0.05,0.1,delayed_coordination,8.90624517082799,-123.94965921169,-814.465310207964,2321
32,32,baseline,0.1,0.2,baseline,0,0,0,0
32,32,baseline,0.1,0.2,early_mover,-4.23945085174401,-108.143517498199,-648.749707122207,1829
32,32,baseline,0.1,0.2,sequential,-7.21244949986801,-112.284959553934,-694.042934233073,1729
32,32,baseline,0.1,0.2,coordinated,-8.09430378918258,-89.2890986861579,-613.114477857367,1576
32,32,baseline,0.1,0.2,delayed_coordination,-6.21454194191018,-111.684420749702,-718.310084458069,1811
32,32,high,0.2,0.4,baseline,0,0,0,0
32,32,high,0.2,0.4,early_mover,-17.7614082844733,-59.5867442814063,-315.637280819016,988
32,32,high,0.2,0.4,sequential,-22.5947584848783,-58.9379657639719,-329.892968362546,870
32,32,high,0.2,0.4,coordinated,-22.5995610469031,-36.9217299447222,-283.479829025869,751
32,32,high,0.2,0.4,delayed_coordination,-21.9748401215708,-65.1763875071323,-351.613862993323,1004
33,33,low,0.05,0.1,baseline,0,0,0,0
33,33,low,0.05,0.1,early_mover,8.42008598722575,-132.507266162266,-871.66854311176,2605
33,33,low,0.05,0.1,sequential,9.92221517205226,-135.516692508572,-922.202166395725,2649
33,33,low,0.05,0.1,coordinated,5.16307347677682,-130.579472308904,-912.19009153467,2482
33,33,low,0.05,0.1,delayed_coordination,7.30669056795438,-135.391383130706,-918.961684058823,2632
33,33,baseline,0.1,0.2,baseline,0,0,0,0
33,33,baseline,0.1,0.2,early_mover,-9.90618441431781,-104.791357556675,-630.759929487621,1924
33,33,baseline,0.1,0.2,sequential,-11.600552976172,-113.376142532966,-690.959302939052,1953
33,33,baseline,0.1,0.2,coordinated,-12.265517023292,-109.896762174416,-692.545736227056,1977
33,33,baseline,0.1,0.2,delayed_coordination,-13.1117425578445,-109.765381584251,-666.13671428046,1773
33,33,high,0.2,0.4,baseline,0,0,0,0
33,33,high,0.2,0.4,early_mover,-24.3999089265965,-27.2512163404583,-162.934114176508,437
33,33,high,0.2,0.4,sequential,-26.9287885765426,-31.4240839977172,-195.840110789734,446
33,33,high,0.2,0.4,coordinated,-25.4102250240566,-32.6605118872056,-219.238924730053,613
33,33,high,0.2,0.4,delayed_coordination,-26.9725690352809,-30.1588854206837,-185.856544682352,467
34,34,low,0.05,0.1,baseline,0,0,0,0
34,34,low,0.05,0.1,early_mover,8.43535344802146,-104.320137482114,-720.970873615891,2378
34,34,low,0.05,0.1,sequential,13.4321830827844,-131.762858345564,-857.189273130237,2438
34,34,low,0.05,0.1,coordinated,8.7953912052339,-127.627318783334,-806.73187473354,2359
34,34,low,0.05,0.1,delayed_coordination,8.95901930100683,-122.083353509243,-814.877857741915,2323
34,34,baseline,0.1,0.2,baseline,0,0,0,0
34,34,baseline,0.1,0.2,early_mover,-0.752047698714023,-85.0501539084279,-625.647692103906,1756
34,34,baseline,0.1,0.2,sequential,-3.10608524971059,-94.9312704922263,-675.468281556757,1831
34,34,baseline,0.1,0.2,coordinated,-4.00996607768387,-86.1591158292395,-634.067165492046,1743
34,34,baseline,0.1,0.2,delayed_coordination,-4.57812568579389,-90.3561754460388,-654.909567866343,1829
34,34,high,0.2,0.4,baseline,0,0,0,0
34,34,high,0.2,0.4,early_mover,-17.6336068742451,-52.5887296039539,-293.962333040817,846
34,34,high,0.2,0.4,sequential,-20.5087119698454,-56.34470271197,-321.506273327771,903
34,34,high,0.2,0.4,coordinated,-24.5833571499836,-36.827807560356,-202.598361339335,618
34,34,high,0.2,0.4,delayed_coordination,-20.6579591113472,-57.213376239396,-317.895440589027,925
35,35,low,0.05,0.1,baseline,0,0,0,0
35,35,low,0.05,0.1,early_mover,4.15340315745524,-119.044945121459,-727.333092139578,2264
35,35,low,0.05,0.1,sequential,1.84043051214641,-129.353563073217,-767.826851393794,2316
35,35,low,0.05,0.1,coordinated,3.08831345060673,-142.607080485197,-789.871459550124,2413
35,35,low,0.05,0.1,delayed_coordination,0.462926793809714,-124.760329126695,-746.97883896641,2212
35,35,baseline,0.1,0.2,baseline,0,0,0,0
35,35,baseline,0.1,0.2,early_mover,-8.92551332747789,-83.825548696144,-531.231410966067,1528
35,35,baseline,0.1,0.2,sequential,-10.8084441695874,-86.2939457416416,-561.704215138331,1629
35,35,baseline,0.1,0.2,coordinated,-10.5040720986194,-95.3451767672099,-614.639216725821,1925
35,35,baseline,0.1,0.2,delayed_coordination,-12.8087571204244,-83.3071803164828,-542.636931277429,1601
35,35,high,0.2,0.4,baseline,0,0,0,0
35,35,high,0.2,0.4,early_mover,-18.1509781472639,-39.7602570072329,-321.685281875179,1106
35,35,high,0.2,0.4,sequential,-22.4313799644989,-61.3564305912653,-374.535239084013,1178
35,35,high,0.2,0.4,coordinated,-20.5451748373661,-55.7239380061736,-341.499194827516,1190
35,35,high,0.2,0.4,delayed_coordination,-19.9347950538238,-65.5341797579131,-402.428643634923,1268
36,36,low,0.05,0.1,baseline,0,0,0,0
36,36,low,0.05,0.1,early_mover,9.03051380273016,-113.376363266837,-811.483982926387,2239
36,36,low,0.05,0.1,sequential,4.64910443121437,-101.370175684986,-798.66651797093,2230
36,36,low,0.05,0.1,coordinated,0.570346780995834,-105.490977971663,-748.541834171278,1994
36,36,low,0.05,0.1,delayed_coordination,10.2865968443275,-118.254982836227,-880.451509331139,2335
36,36,baseline,0.1,0.2,baseline,0,0,0,0
36,36,baseline,0.1,0.2,early_mover,-9.4386149594668,-87.2017018685113,-553.124074060486,1571
36,36,baseline,0.1,0.2,sequential,-12.3461454727495,-92.7259701040963,-569.438336524368,1529
36,36,baseline,0.1,0.2,coordinated,-13.4673238311178,-80.9221592061443,-530.077843997765,1571
36,36,baseline,0.1,0.2,delayed_coordination,-11.5725426957654,-97.4576856816789,-563.459283322911,1509
36,36,high,0.2,0.4,baseline,0,0,0,0
36,36,high,0.2,0.4,early_mover,-18.3048200940832,-41.4407960772293,-317.388767813683,932
36,36,high,0.2,0.4,sequential,-18.6942490192273,-48.6646257881946,-389.467206924014,993
36,36,high,0.2,0.4,coordinated,-16.7335815583098,-62.5631936610495,-453.261358544129,1268
36,36,high,0.2,0.4,delayed_coordination,-18.6524910161819,-66.6868628197142,-426.74992684705,1104
37,37,low,0.05,0.1,baseline,0,0,0,0
37,37,low,0.05,0.1,early_mover,6.79236430216031,-115.742819610492,-713.019779327994,2368
37,37,low,0.05,0.1,sequential,9.08179667600893,-126.207597521196,-741.334097664403,2384
37,37,low,0.05,0.1,coordinated,1.98818114161691,-109.396252625662,-660.433857437154,2243
37,37,low,0.05,0.1,delayed_coordination,7.65055340801698,-125.499710948766,-753.776468112197,2480
37,37,baseline,0.1,0.2,baseline,0,0,0,0
37,37,baseline,0.1,0.2,early_mover,-5.30017298931062,-90.2764781813291,-594.409394717692,1895
37,37,baseline,0.1,0.2,sequential,-10.825075552203,-106.947811578002,-597.935754688997,1682
37,37,baseline,0.1,0.2,coordinated,-5.80282016957473,-116.237244459757,-684.405444594351,2185
37,37,baseline,0.1,0.2,delayed_coordination,-7.83844739519341,-101.781981644705,-619.396042570349,1861
37,37,high,0.2,0.4,baseline,0,0,0,0
37,37,high,0.2,0.4,early_mover,-17.1202273760816,-50.7682936272787,-255.954976100982,845
37,37,high,0.2,0.4,sequential,-16.404924789552,-67.320817555325,-336.182095833554,1066
37,37,high,0.2,0.4,coordinated,-20.4944139621093,-51.0943723580164,-300.575349924199,892
37,37,high,0.2,0.4,delayed_coordination,-19.291199940188,-60.1584293676754,-318.161251683798,1064
38,38,low,0.05,0.1,baseline,0,0,0,0
38,38,low,0.05,0.1,early_mover,12.6218545863447,-138.146016559634,-810.314394877287,2540
38,38,low,0.05,0.1,sequential,5.54240543955163,-131.934730813586,-799.889542648441,2322
38,38,low,0.05,0.1,coordinated,2.5778344878843,-128.165503928836,-762.327685875247,1869
38,38,low,0.05,0.1,delayed_coordination,12.0632735956178,-144.955836045194,-858.664728004201,2541
38,38,baseline,0.1,0.2,baseline,0,0,0,0
38,38,baseline,0.1,0.2,early_mover,-1.28684427866105,-103.768964802098,-704.825545676875,2281
38,38,baseline,0.1,0.2,sequential,-2.99152104154906,-114.847299330723,-771.848752659904,2039
38,38,baseline,0.1,0.2,coordinated,-2.82873420745283,-109.233279378198,-733.172844713721,2019
38,38,baseline,0.1,0.2,delayed_coordination,-2.95049685866833,-110.354138677914,-757.485590057804,2108
38,38,high,0.2,0.4,baseline,0,0,0,0
38,38,high,0.2,0.4,early_mover,-18.9774926248043,-45.3988922422891,-260.256026101218,834
38,38,high,0.2,0.4,sequential,-19.4476414971432,-61.6231025990799,-331.439340985705,855
38,38,high,0.2,0.4,coordinated,-22.3020785361523,-52.899359716901,-293.96807154399,817
38,38,high,0.2,0.4,delayed_coordination,-20.0509669328764,-56.0441496561225,-328.987009537573,822
39,39,low,0.05,0.1,baseline,0,0,0,0
39,39,low,0.05,0.1,early_mover,2.01033124845054,-107.143340642756,-744.64430001307,2263
39,39,low,0.05,0.1,sequential,3.44216927002967,-124.586987368978,-812.101454272812,2276
39,39,low,0.05,0.1,coordinated,-3.79882796113984,-110.287429168033,-737.086470638087,2055
39,39,low,0.05,0.1,delayed_coordination,-0.354165305804713,-112.297452273398,-779.316639219317,2158
39,39,baseline,0.1,0.2,baseline,0,0,0,0
39,39,baseline,0.1,0.2,early_mover,-3.53557999207806,-122.755989160627,-690.636899592655,2275
39,39,baseline,0.1,0.2,sequential,-5.26692411024172,-129.174580606449,-730.048216660699,2226
39,39,baseline,0.1,0.2,coordinated,-8.85039603153513,-115.351155726041,-696.451405001835,2054
39,39,baseline,0.1,0.2,delayed_coordination,-5.19440109042303,-132.846810062627,-728.432349170136,2215
39,39,high,0.2,0.4,baseline,0,0,0,0
39,39,high,0.2,0.4,early_mover,-22.2216300457847,-36.6103592435209,-201.229344900151,444
39,39,high,0.2,0.4,sequential,-26.7353076468505,-37.9829168198535,-189.907377040003,440
39,39,high,0.2,0.4,coordinated,-24.8059022688921,-43.5274636229443,-230.628527033899,641
39,39,high,0.2,0.4,delayed_coordination,-25.1205505452039,-39.9991579560371,-219.695848968839,456
40,40,low,0.05,0.1,baseline,0,0,0,0
40,40,low,0.05,0.1,early_mover,9.60383079416548,-99.630810025407,-890.484874603139,2549
40,40,low,0.05,0.1,sequential,2.11803960997364,-99.1548237166809,-905.831932062249,2430
40,40,low,0.05,0.1,coordinated,-9.52061810884362,-64.9751769739829,-739.640157387047,1639
40,40,low,0.05,0.1,delayed_coordination,1.51075634848684,-102.076125752218,-874.527123613342,2411
40,40,baseline,0.1,0.2,baseline,0,0,0,0
40,40,baseline,0.1,0.2,early_mover,-0.546294730475083,-103.166029339023,-760.692982522664,2120
40,40,baseline,0.1,0.2,sequential,-5.79980274648705,-105.882402136312,-749.949241985387,2078
40,40,baseline,0.1,0.2,coordinated,-7.38338286761045,-93.0264888810603,-712.908552617507,2108
40,40,baseline,0.1,0.2,delayed_coordination,-5.09092091958468,-105.513789283196,-771.159592010443,2154
40,40,high,0.2,0.4,baseline,0,0,0,0
40,40,high,0.2,0.4,early_mover,-21.8100642671786,-30.5568549449382,-245.607954254172,680
40,40,high,0.2,0.4,sequential,-24.9709961999987,-50.2815375680228,-283.662991623538,775
40,40,high,0.2,0.4,coordinated,-26.3083025327475,-44.3555199090351,-239.839527614392,876
40,40,high,0.2,0.4,delayed_coordination,-24.4200291500122,-43.3966552868225,-259.893680611559,764
41,41,low,0.05,0.1,baseline,0,0,0,0
41,41,low,0.05,0.1,early_mover,11.7538294023339,-123.37420665097,-867.705392086198,2525
41,41,low,0.05,0.1,sequential,9.62060200795838,-124.417832172736,-831.418652844265,2436
41,41,low,0.05,0.1,coordinated,13.3224034399799,-122.652936551878,-899.393372197371,2598
41,41,low,0.05,0.1,delayed_coordination,8.23584183913368,-121.008588600859,-841.361682242371,2455
41,41,baseline,0.1,0.2,baseline,0,0,0,0
41,41,baseline,0.1,0.2,early_mover,-0.0960983445615966,-84.7277468201191,-723.184736318533,2301
41,41,baseline,0.1,0.2,sequential,-3.14688920342898,-85.2870959692504,-703.062864547135,2163
41,41,baseline,0.1,0.2,coordinated,-5.13157481044999,-84.8066559223901,-649.213299529311,2018
41,41,baseline,0.1,0.2,delayed_coordination,-3.64561019341895,-85.8533603753407,-718.501362230958,2193
41,41,high,0.2,0.4,baseline,0,0,0,0
41,41,high,0.2,0.4,early_mover,-20.8066356755725,-32.0933989005964,-228.822938673413,580
41,41,high,0.2,0.4,sequential,-21.4491936456982,-44.4048684531665,-274.14071263082,596
41,41,high,0.2,0.4,coordinated,-22.2116433393351,-47.2550276563393,-254.012315303907,716
41,41,high,0.2,0.4,delayed_coordination,-23.2478616074736,-33.4099586593083,-246.909777102392,559
42,42,low,0.05,0.1,baseline,0,0,0,0
42,42,low,0.05,0.1,early_mover,9.02137711614347,-125.629958692011,-775.61504472075,2489
42,42,low,0.05,0.1,sequential,8.23146794543729,-143.524905349504,-819.985383311309,2536
42,42,low,0.05,0.1,coordinated,-0.0464253438879041,-109.707288976778,-698.55287963051,2233
42,42,low,0.05,0.1,delayed_coordination,6.06077065687526,-131.434841988834,-797.832025230386,2532
42,42,baseline,0.1,0.2,baseline,0,0,0,0
42,42,baseline,0.1,0.2,early_mover,2.02821723045662,-91.5400342505205,-693.74631011202,2432
42,42,baseline,0.1,0.2,sequential,-1.13620329239197,-96.7019388079629,-715.200292565213,2397
42,42,baseline,0.1,0.2,coordinated,-1.51399971269717,-90.6208756853867,-666.240528605189,2308
