replication,seed,cost_regime,eL,eG,scenario_id,scenario_name,final_fitness,final_risk,final_trade,final_recovering_links,total_switches,local_switches,global_switches
4,4,baseline,0.1,0.2,coordinated,Coordinated,117.437990668408,299.556569288894,1746.75276000042,253,4071,1131,2940
4,4,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,122.440420067639,241.929156999902,1581.88206601595,285,4520,1160,3360
4,4,high,0.2,0.4,baseline,Baseline,110.784118899952,441.187784461429,2955.01464524633,12,219,108,111
4,4,high,0.2,0.4,early_mover,Early Mover,97.1054135416794,362.815768799905,2521.17313211678,102,1472,571,901
4,4,high,0.2,0.4,sequential,Sequential,93.5097408925703,364.735435666439,2461.96242724805,113,1500,579,921
4,4,high,0.2,0.4,coordinated,Coordinated,91.0301595661655,376.588093106442,2507.23436601738,111,1473,537,936
4,4,high,0.2,0.4,delayed_coordination,Delayed Coordination,94.5462619361915,355.027445281259,2427.92279117405,123,1577,590,987
5,5,low,0.05,0.1,baseline,Baseline,129.997660633244,329.673807816058,2253.27827851121,142,3109,581,2528
5,5,low,0.05,0.1,early_mover,Early Mover,139.153125067723,227.15829028629,1432.52435289864,288,5270,1249,4021
5,5,low,0.05,0.1,sequential,Sequential,136.980800982423,209.986202916428,1378.06924898545,302,5245,1326,3919
5,5,low,0.05,0.1,coordinated,Coordinated,124.811760584645,237.124161048343,1604.23676501415,268,4694,1344,3350
5,5,low,0.05,0.1,delayed_coordination,Delayed Coordination,137.29133738199,213.995582658847,1383.91875159524,304,5353,1327,4026
5,5,baseline,0.1,0.2,baseline,Baseline,122.999682145179,375.753072594,2500.85760980198,97,2156,480,1676
5,5,baseline,0.1,0.2,early_mover,Early Mover,118.895829097692,275.995270092931,1851.0569143788,227,3791,1078,2713
5,5,baseline,0.1,0.2,sequential,Sequential,112.559154489061,281.056372629668,1901.3216047123,218,3623,1114,2509
5,5,baseline,0.1,0.2,coordinated,Coordinated,110.70512797609,305.843030416939,1966.26207469496,174,3422,1063,2359
5,5,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,113.833006391221,294.830909747808,1908.52551284766,203,3595,1094,2501
5,5,high,0.2,0.4,baseline,Baseline,111.39259150852,434.610958671086,2898.67222472429,27,537,208,329
5,5,high,0.2,0.4,early_mover,Early Mover,96.0834413557699,403.850767052864,2558.90278010686,95,1536,577,959
5,5,high,0.2,0.4,sequential,Sequential,94.8770769532344,388.199827870413,2485.44240992733,121,1654,594,1060
5,5,high,0.2,0.4,coordinated,Coordinated,89.5133852655196,393.98375129107,2596.62188448768,87,1384,496,888
5,5,high,0.2,0.4,delayed_coordination,Delayed Coordination,94.4486017647119,388.630183489227,2479.33665295324,119,1634,590,1044
6,6,low,0.05,0.1,baseline,Baseline,130.06020050936,310.180495612887,2258.6942868099,135,2940,422,2518
6,6,low,0.05,0.1,early_mover,Early Mover,141.091582479618,192.422446715114,1364.28485780719,316,5524,1362,4162
6,6,low,0.05,0.1,sequential,Sequential,137.584173255145,187.732776323692,1349.9284090753,319,5499,1395,4104
6,6,low,0.05,0.1,coordinated,Coordinated,137.507850444457,186.453228928037,1359.14557408004,294,5421,1526,3895
6,6,low,0.05,0.1,delayed_coordination,Delayed Coordination,137.909158926208,184.57146306553,1340.3152264516,316,5537,1440,4097
6,6,baseline,0.1,0.2,baseline,Baseline,121.975141289964,365.804511914658,2527.51690733263,96,1959,588,1371
6,6,baseline,0.1,0.2,early_mover,Early Mover,127.576854112926,254.933320135202,1672.51067823722,274,4362,1062,3300
6,6,baseline,0.1,0.2,sequential,Sequential,125.573045433173,248.224015472931,1651.62986315284,267,4351,1192,3159
6,6,baseline,0.1,0.2,coordinated,Coordinated,122.172575091648,257.18997343435,1678.96425575928,244,4238,1246,2992
6,6,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,125.235227105998,247.560838443848,1662.12651273848,264,4293,1186,3107
6,6,high,0.2,0.4,baseline,Baseline,111.375759510974,420.903203869818,2898.16298010175,15,289,143,146
6,6,high,0.2,0.4,early_mover,Early Mover,97.0322267523732,367.95499352082,2482.24067266191,102,1394,562,832
6,6,high,0.2,0.4,sequential,Sequential,94.0384816782722,360.871419838162,2474.07887135042,102,1373,550,823
6,6,high,0.2,0.4,coordinated,Coordinated,93.8331802930046,359.837032385757,2463.79961901268,105,1484,573,911
6,6,high,0.2,0.4,delayed_coordination,Delayed Coordination,93.7667141789797,363.053776442721,2468.40863613834,104,1392,560,832
7,7,low,0.05,0.1,baseline,Baseline,132.071213946143,325.762181765543,2174.90585255696,163,3379,681,2698
7,7,low,0.05,0.1,early_mover,Early Mover,131.479815686328,228.066472748155,1410.14195165752,284,5401,1311,4090
7,7,low,0.05,0.1,sequential,Sequential,128.744651040181,232.087757680345,1391.57638315449,284,5229,1320,3909
7,7,low,0.05,0.1,coordinated,Coordinated,133.595823516435,215.378181247234,1305.95001835766,331,5581,1391,4190
7,7,low,0.05,0.1,delayed_coordination,Delayed Coordination,128.272961917087,228.884812663617,1372.65973195576,304,5440,1337,4103
7,7,baseline,0.1,0.2,baseline,Baseline,126.285880825954,335.424054168838,2353.91426159706,123,2547,619,1928
7,7,baseline,0.1,0.2,early_mover,Early Mover,119.142988874797,258.462191299714,1726.10463400483,226,4078,1077,3001
7,7,baseline,0.1,0.2,sequential,Sequential,117.81399162947,252.208906749522,1678.80086512606,245,4218,1112,3106
7,7,baseline,0.1,0.2,coordinated,Coordinated,118.805611715615,238.468990244378,1639.1037261194,257,4416,1135,3281
7,7,baseline,0.1,0.2,delayed_coordination,Delayed Coordination,114.575273335396,259.938565703739,1719.0633709251,229,4101,1065,3036
7,7,high,0.2,0.4,baseline,Baseline,112.292798219297,429.24377171209,2816.29945645774,29,627,227,400
7,7,high,0.2,0.4,early_mover,Early Mover,96.4795869030856,369.763090378061,2476.46026113643,98,1534,577,957
7,7,high,0.2,0.4,sequential,Sequential,95.1089422601041,359.867576489854,2404.58743724165,115,1652,611,1041
7,7,high,0.2,0.4,coordinated,Coordinated,90.4230985639719,385.263430682154,2512.13236568412,85,1470,559,911
7,7,high,0.2,0.4,delayed_coordination,Delayed Coordination,94.0764632312139,364.221858207899,2442.11807531135,103,1589,578,1011
8,8,low,0.05,0.1,baseline,Baseline,132.873239364363,281.113216161331,2132.80884154323,162,3286,526,2760
8,8,low,0.05,0.1,early_mover,Early Mover,135.285063730247,171.968683825007,1342.28123104543,308,5399,1290,4109
8,8,low,0.05,0.1,sequential,Sequential,131.547249416277,169.107770406786,1307.87283279778,296,5226,1403,3823
8,8,low,0.05,0.1,coordinated,Coordinated,129.0713879339,168.931337556137,1309.68116575987,295,5039,1296,3743
