replication,cost_regime,lowest_risk_scenario,lowest_final_risk
62,baseline,delayed_coordination,211.013179888056
62,high,delayed_coordination,341.913596765454
63,low,early_mover,196.373028070641
63,baseline,coordinated,235.741386118123
63,high,coordinated,360.353091985431
64,low,early_mover,182.977680896247
64,baseline,sequential,221.013398610489
64,high,delayed_coordination,357.296531037421
65,low,delayed_coordination,172.769142010058
65,baseline,sequential,213.943750075232
65,high,sequential,325.283911684226
66,low,sequential,170.886723865918
66,baseline,delayed_coordination,213.121102899915
66,high,delayed_coordination,360.735183127615
67,low,sequential,183.643263154292
67,baseline,sequential,228.946455958124
67,high,sequential,345.643546174509
68,low,delayed_coordination,164.006473528114
68,baseline,delayed_coordination,241.838319643183
68,high,coordinated,351.499443540956
69,low,early_mover,188.301876648309
69,baseline,sequential,242.160972193044
69,high,sequential,323.609174601927
70,low,sequential,183.828385023958
70,baseline,delayed_coordination,239.985913586502
70,high,delayed_coordination,346.74614595348
