replication,seed,recoveryHorizon,scenarioID,scenarioName,finalFitness,finalRisk,finalTrade,finalRecoveringLinks,totalSwitches,localSwitches,globalSwitches
1,1,3,baseline,Baseline,128.467573705623,340.198098028014,2333.0215548915,103,2720,1132,1588
1,1,3,early_mover,Early Mover,117.436608067088,259.159072130538,1852.95053615983,191,4046,1580,2466
1,1,3,sequential,Sequential,113.646722316875,241.927495585415,1834.6059229324,175,3867,1535,2332
1,1,3,coordinated,Coordinated,114.858995251931,244.863351287648,1832.63224119755,191,4069,1567,2502
1,1,3,delayed_coordination,Delayed Coordination,111.268482296232,255.897731803799,1878.45295372999,162,3813,1533,2280
1,1,5,baseline,Baseline,128.471467322935,347.561400246829,2344.74238495496,106,2649,1144,1505
1,1,5,early_mover,Early Mover,119.201450349082,243.327853509376,1802.08805291328,210,4141,1670,2471
1,1,5,sequential,Sequential,114.965090592667,239.544305724848,1789.50687815374,205,4045,1659,2386
1,1,5,coordinated,Coordinated,114.284262123457,242.899123623852,1867.31446223304,192,3917,1635,2282
1,1,5,delayed_coordination,Delayed Coordination,115.840579827431,233.815861461161,1777.52528880757,215,4168,1679,2489
1,1,7,baseline,Baseline,128.489539441051,344.423177093982,2339.36124742053,103,2593,1127,1466
1,1,7,early_mover,Early Mover,122.383801872647,238.830911878075,1738.7185129109,212,4137,1616,2521
1,1,7,sequential,Sequential,118.738646222807,231.002928275926,1717.07592151838,209,3967,1612,2355
1,1,7,coordinated,Coordinated,114.899825154228,235.73720458013,1776.95869901872,207,3882,1564,2318
1,1,7,delayed_coordination,Delayed Coordination,120.442293845286,224.656343098942,1688.23304757661,204,4114,1631,2483
2,2,3,baseline,Baseline,128.548307151471,341.110456578823,2286.18966686705,112,2838,1178,1660
2,2,3,early_mover,Early Mover,121.237134711863,246.860023418652,1662.72389060691,245,4862,1755,3107
2,2,3,sequential,Sequential,118.249067445947,233.672244585821,1604.39095138379,263,4929,1802,3127
2,2,3,coordinated,Coordinated,118.003423738218,247.22741966277,1614.89276995094,262,4952,1950,3002
2,2,3,delayed_coordination,Delayed Coordination,119.961040153241,239.793821338116,1563.84227916754,273,4975,1817,3158
2,2,5,baseline,Baseline,128.505671243792,340.75141935332,2288.56803367606,120,2889,1184,1705
2,2,5,early_mover,Early Mover,123.34969312917,249.9575182604,1606.19531381601,261,4877,1789,3088
2,2,5,sequential,Sequential,120.63207743337,247.613274387203,1549.06505024693,274,4978,1817,3161
2,2,5,coordinated,Coordinated,119.235200809046,245.074560560967,1594.88160984175,279,5024,1801,3223
2,2,5,delayed_coordination,Delayed Coordination,123.489322000039,238.591640618031,1511.53743864395,269,5001,1827,3174
2,2,7,baseline,Baseline,128.151498326775,338.233383164291,2299.85299426224,113,2799,1183,1616
2,2,7,early_mover,Early Mover,117.775435282531,264.950005870783,1722.3452483177,224,4579,1765,2814
2,2,7,sequential,Sequential,114.567759784571,252.324979487388,1676.53180719505,223,4491,1792,2699
2,2,7,coordinated,Coordinated,121.334329933255,233.196580416453,1540.5996436912,267,5083,1896,3187
2,2,7,delayed_coordination,Delayed Coordination,114.665004519629,253.427128389108,1693.34458596883,224,4525,1793,2732
