replication,seed,recovery_horizon,scenario_id,scenario_name,delta_final_fitness_vs_baseline,delta_final_risk_vs_baseline,delta_final_trade_vs_baseline,delta_recovering_links_vs_baseline,delta_total_switches_vs_baseline
21,21,7,delayed_coordination,Delayed Coordination,-3.9449446552775,-103.007953617128,-782.492452747991,166,2241
22,22,3,baseline,Baseline,0,0,0,0,0
22,22,3,early_mover,Early Mover,-7.69006367776623,-110.104232940558,-596.509829774962,104,1482
22,22,3,sequential,Sequential,-8.674626510519,-130.535566081135,-687.610790312107,121,1621
22,22,3,coordinated,Coordinated,-8.97536879040335,-113.488409940963,-612.104123049062,115,1606
22,22,3,delayed_coordination,Delayed Coordination,-9.71347627073295,-122.681787592083,-622.067563714024,119,1542
22,22,5,baseline,Baseline,0,0,0,0,0
22,22,5,early_mover,Early Mover,-7.36591697960364,-113.947597070665,-605.513485087497,101,1657
22,22,5,sequential,Sequential,-12.485064253861,-113.050506757529,-587.005410966204,88,1395
22,22,5,coordinated,Coordinated,-8.50215800894044,-119.804122026074,-645.192423615056,105,1856
22,22,5,delayed_coordination,Delayed Coordination,-8.13764951352788,-131.109833174417,-655.24348925439,114,1712
22,22,7,baseline,Baseline,0,0,0,0,0
22,22,7,early_mover,Early Mover,-8.21283236309803,-107.095603943627,-555.001667078149,95,1450
22,22,7,sequential,Sequential,-11.6880389372172,-104.267750605213,-546.707882792884,107,1413
22,22,7,coordinated,Coordinated,-4.11245568271525,-121.180285478984,-687.497627405639,132,2003
22,22,7,delayed_coordination,Delayed Coordination,-8.36403088214172,-112.076055145343,-633.325468343272,120,1549
23,23,3,baseline,Baseline,0,0,0,0,0
23,23,3,early_mover,Early Mover,-3.62123506232045,-119.567820973323,-742.083456085051,168,2127
23,23,3,sequential,Sequential,-4.95267681513566,-141.570481601537,-841.360915775058,162,2199
23,23,3,coordinated,Coordinated,-9.96253160988985,-117.169863821144,-696.100967006596,128,1831
23,23,3,delayed_coordination,Delayed Coordination,-10.3156963435171,-127.10557790723,-733.973878885214,125,1849
23,23,5,baseline,Baseline,0,0,0,0,0
23,23,5,early_mover,Early Mover,-3.71419742580416,-118.763319030578,-786.904128694831,163,2236
23,23,5,sequential,Sequential,-3.16915825953465,-134.602177733501,-885.519742839115,184,2382
23,23,5,coordinated,Coordinated,-4.41680742637392,-129.178353877865,-806.47551767086,155,2079
23,23,5,delayed_coordination,Delayed Coordination,-5.71284831290552,-130.603206074947,-851.126323445968,162,2288
23,23,7,baseline,Baseline,0,0,0,0,0
23,23,7,early_mover,Early Mover,-3.50092544966951,-111.729928179754,-775.615502042278,168,2283
23,23,7,sequential,Sequential,-6.11276840754071,-122.13814511636,-841.94814013736,179,2316
23,23,7,coordinated,Coordinated,-5.27851030185452,-127.888211870892,-800.159274404844,172,2188
23,23,7,delayed_coordination,Delayed Coordination,-5.23634202130913,-127.721622281133,-850.558598662372,176,2321
24,24,3,baseline,Baseline,0,0,0,0,0
24,24,3,early_mover,Early Mover,-1.40989151936307,-97.5419587473105,-727.310414125471,153,2379
24,24,3,sequential,Sequential,-0.700680675603337,-110.83165176705,-813.84328327974,133,2230
24,24,3,coordinated,Coordinated,-2.46493316131561,-103.891405468361,-783.175536247817,160,2343
24,24,3,delayed_coordination,Delayed Coordination,-1.19817360782078,-111.631349356906,-814.233983989075,145,2299
24,24,5,baseline,Baseline,0,0,0,0,0
24,24,5,early_mover,Early Mover,0.679104223208739,-108.33291946348,-789.55352033546,159,2325
24,24,5,sequential,Sequential,1.95704210555928,-119.620927811108,-870.969150745464,175,2387
24,24,5,coordinated,Coordinated,-2.91778549103245,-117.031233187505,-762.622263004112,154,2212
24,24,5,delayed_coordination,Delayed Coordination,1.79581646594801,-121.583849760943,-879.882158927431,185,2412
24,24,7,baseline,Baseline,0,0,0,0,0
24,24,7,early_mover,Early Mover,-2.40115251402786,-104.125896769081,-777.189416509228,168,2251
24,24,7,sequential,Sequential,-3.61495740250437,-113.021381227092,-828.432410008896,170,2216
24,24,7,coordinated,Coordinated,-1.65988630131284,-112.000593389953,-813.853969926912,178,2347
24,24,7,delayed_coordination,Delayed Coordination,-4.89106166465324,-111.372074396074,-824.924162865854,166,2192
25,25,3,baseline,Baseline,0,0,0,0,0
25,25,3,early_mover,Early Mover,-12.7681555316641,-85.5764114081533,-464.796653609466,77,1087
25,25,3,sequential,Sequential,-14.2491511839613,-83.869752116063,-578.265773033432,100,1207
25,25,3,coordinated,Coordinated,-17.8997837020117,-84.1922604941145,-477.573922009893,67,1093
25,25,3,delayed_coordination,Delayed Coordination,-13.6887499230251,-99.5000966503802,-537.799848755535,82,1239
25,25,5,baseline,Baseline,0,0,0,0,0
25,25,5,early_mover,Early Mover,-3.60137447636397,-102.168339497867,-646.853170605431,111,1616
25,25,5,sequential,Sequential,-6.75834335207344,-92.1579113593914,-671.104364275923,114,1618
25,25,5,coordinated,Coordinated,-9.13874044330399,-87.8522599112781,-610.72120516762,110,1584
25,25,5,delayed_coordination,Delayed Coordination,-6.13128375141478,-101.517522827303,-685.23408148302,114,1644
25,25,7,baseline,Baseline,0,0,0,0,0
25,25,7,early_mover,Early Mover,-6.99940423926171,-94.8501777642916,-618.33218217297,114,1570
25,25,7,sequential,Sequential,-9.41774173894677,-99.7476455866039,-674.59435472694,134,1638
25,25,7,coordinated,Coordinated,-8.87942296671693,-99.406485877164,-646.953230948944,111,1581
25,25,7,delayed_coordination,Delayed Coordination,-7.49870236552431,-96.2549084547584,-685.344962694615,142,1544
26,26,3,baseline,Baseline,0,0,0,0,0
26,26,3,early_mover,Early Mover,-3.98180935245753,-145.650471741741,-788.395495969682,161,2059
26,26,3,sequential,Sequential,-1.93808787656782,-146.229989891048,-916.773052270142,183,2339
26,26,3,coordinated,Coordinated,-1.45992539019583,-130.716351816955,-909.117462553045,186,2301
26,26,3,delayed_coordination,Delayed Coordination,-1.54714075552151,-156.597956558886,-912.738427626591,172,2287
26,26,5,baseline,Baseline,0,0,0,0,0
26,26,5,early_mover,Early Mover,-1.27682876341768,-132.456320308603,-817.048948350013,155,2120
26,26,5,sequential,Sequential,0.00352714067265936,-135.228260699544,-918.033831394399,180,2239
26,26,5,coordinated,Coordinated,-2.20678687180475,-129.238496643318,-888.824461235622,167,2226
26,26,5,delayed_coordination,Delayed Coordination,0.754267178066016,-135.700292839854,-897.900453697359,180,2298
26,26,7,baseline,Baseline,0,0,0,0,0
26,26,7,early_mover,Early Mover,1.81387935357245,-128.610672163626,-887.489517133604,195,2337
26,26,7,sequential,Sequential,2.72799520790457,-139.404182513171,-944.777321877148,203,2393
26,26,7,coordinated,Coordinated,1.1420768025784,-144.435615035135,-940.289605868522,201,2332
26,26,7,delayed_coordination,Delayed Coordination,3.43902635302872,-140.749821554213,-973.499584765712,197,2516
27,27,3,baseline,Baseline,0,0,0,0,0
27,27,3,early_mover,Early Mover,-2.34398294037517,-110.574308471586,-807.3392903463,146,2109
27,27,3,sequential,Sequential,-4.98498576836539,-122.279671944669,-859.713608802977,148,2104
27,27,3,coordinated,Coordinated,-4.05451681184226,-122.522640035625,-856.424834869604,171,2260
27,27,3,delayed_coordination,Delayed Coordination,-4.3778115156956,-120.186912921853,-886.720573680693,156,2151
27,27,5,baseline,Baseline,0,0,0,0,0
27,27,5,early_mover,Early Mover,2.33835708399501,-128.194692590438,-842.169120428317,159,2482
27,27,5,sequential,Sequential,2.79813903682157,-132.464378355835,-951.728811728211,177,2457
27,27,5,coordinated,Coordinated,-1.85581172839845,-103.817600915244,-859.78087601407,143,2105
27,27,5,delayed_coordination,Delayed Coordination,-1.39937934161838,-121.148942946013,-904.4168763042,178,2497
27,27,7,baseline,Baseline,0,0,0,0,0
27,27,7,early_mover,Early Mover,1.49271270049992,-121.094173037684,-844.20527213798,167,2463
27,27,7,sequential,Sequential,-3.30675110049015,-118.628206927576,-883.566572214016,176,2432
27,27,7,coordinated,Coordinated,0.270899737332286,-120.678071395596,-911.845628162396,185,2672
27,27,7,delayed_coordination,Delayed Coordination,-1.40928325147671,-127.717848221793,-917.470857803077,182,2508
28,28,3,baseline,Baseline,0,0,0,0,0
28,28,3,early_mover,Early Mover,-4.37796504563089,-116.59947429462,-774.008570198352,155,2225
28,28,3,sequential,Sequential,-7.23537016533585,-112.413357030577,-821.757667597023,155,2236
28,28,3,coordinated,Coordinated,-8.40821254081719,-105.066091249083,-801.397102405956,156,2368
28,28,3,delayed_coordination,Delayed Coordination,-6.48089089491221,-113.94735272468,-841.362390054655,171,2309
28,28,5,baseline,Baseline,0,0,0,0,0
28,28,5,early_mover,Early Mover,-5.97130056605934,-99.7692670616436,-720.93452976376,157,2129
28,28,5,sequential,Sequential,-4.49663055138893,-107.560975763147,-845.617799430998,176,2300
28,28,5,coordinated,Coordinated,-9.37338362320719,-100.885036102597,-786.538655935906,169,2007
28,28,5,delayed_coordination,Delayed Coordination,-6.75480029441994,-109.959086225293,-819.965521850409,179,2251
28,28,7,baseline,Baseline,0,0,0,0,0
28,28,7,early_mover,Early Mover,-7.49481335314601,-107.143945584725,-712.219270296211,143,2124
28,28,7,sequential,Sequential,-6.98183239838392,-125.733705865454,-833.066942331216,174,2241
28,28,7,coordinated,Coordinated,-7.91059931798327,-101.284331168554,-815.79764339851,179,2352
28,28,7,delayed_coordination,Delayed Coordination,-7.54790396554932,-113.903340710928,-826.795869969996,170,2204
29,29,3,baseline,Baseline,0,0,0,0,0
29,29,3,early_mover,Early Mover,-6.51613038475043,-73.9332485670742,-614.986239418179,112,1583
29,29,3,sequential,Sequential,-10.7518016199494,-71.1301927665691,-622.131819250175,86,1399
29,29,3,coordinated,Coordinated,-4.03082072688215,-119.069758380604,-843.907238057154,152,2035
29,29,3,delayed_coordination,Delayed Coordination,-0.521705133266877,-121.238460181836,-878.053000943094,175,1989
29,29,5,baseline,Baseline,0,0,0,0,0
29,29,5,early_mover,Early Mover,-0.385148355932159,-79.3452938481832,-721.804373871925,142,1914
29,29,5,sequential,Sequential,-2.30603952783217,-98.4342869824077,-800.317860023684,154,1936
29,29,5,coordinated,Coordinated,-6.03340082043066,-109.077020765282,-761.937742452155,159,1852
29,29,5,delayed_coordination,Delayed Coordination,-1.84397241182751,-103.60151741491,-785.362880225986,172,2002
29,29,7,baseline,Baseline,0,0,0,0,0
29,29,7,early_mover,Early Mover,-4.83255506614998,-77.0904169221183,-644.741041670605,131,1756
29,29,7,sequential,Sequential,-1.73081767042689,-115.103023696383,-836.560745035664,169,1948
29,29,7,coordinated,Coordinated,-7.68375365961342,-95.7889799150458,-720.052435826465,137,1685
29,29,7,delayed_coordination,Delayed Coordination,-10.0939423848932,-86.4936684983356,-671.057825968026,111,1556
30,30,3,baseline,Baseline,0,0,0,0,0
30,30,3,early_mover,Early Mover,-2.44974548275431,-92.0112588759391,-685.831648630824,161,2072
30,30,3,sequential,Sequential,-2.56179974470075,-103.160811846142,-785.369858232348,153,2115
30,30,3,coordinated,Coordinated,-5.66238365610658,-115.541355412234,-777.86420102911,142,2066
30,30,3,delayed_coordination,Delayed Coordination,-3.14447567377923,-108.2863315323,-779.186019891774,171,2198
30,30,5,baseline,Baseline,0,0,0,0,0
30,30,5,early_mover,Early Mover,-5.04426738209787,-86.1342644029136,-625.769497911205,133,1828
30,30,5,sequential,Sequential,-5.97119432500381,-104.570189379594,-712.05756863435,155,1941
30,30,5,coordinated,Coordinated,-4.25879920276705,-108.594699969165,-750.848105673558,160,2203
30,30,5,delayed_coordination,Delayed Coordination,-5.68257976014149,-101.421276547226,-709.583656065595,134,1874
30,30,7,baseline,Baseline,0,0,0,0,0
30,30,7,early_mover,Early Mover,-5.54567392181094,-80.284059763839,-587.492548378424,123,1822
30,30,7,sequential,Sequential,-5.70785486754923,-104.19952291022,-726.344159127531,145,2012
30,30,7,coordinated,Coordinated,-2.64297502522086,-109.430203155901,-789.801810799122,165,2286
30,30,7,delayed_coordination,Delayed Coordination,-4.92314802833729,-102.588737269208,-725.411119394528,146,1956
31,31,3,baseline,Baseline,0,0,0,0,0
31,31,3,early_mover,Early Mover,0.692592316390602,-105.133328919004,-822.754321676959,168,2434
31,31,3,sequential,Sequential,0.924387748502738,-115.01594113302,-929.686043743277,199,2635
31,31,3,coordinated,Coordinated,2.41405670628096,-110.51364035328,-933.54302489379,202,2864
31,31,3,delayed_coordination,Delayed Coordination,-2.39875023537832,-125.119921416272,-877.776458620348,191,2556
31,31,5,baseline,Baseline,0,0,0,0,0
31,31,5,early_mover,Early Mover,4.36677225317911,-108.679143813581,-891.809622803454,192,2619
31,31,5,sequential,Sequential,-0.346128604301299,-120.133415377722,-923.515548245231,185,2635
31,31,5,coordinated,Coordinated,-0.798111255110101,-117.524057714905,-914.719969825985,193,2820
31,31,5,delayed_coordination,Delayed Coordination,1.18779743469274,-126.77722059799,-947.476875444656,186,2610
31,31,7,baseline,Baseline,0,0,0,0,0
31,31,7,early_mover,Early Mover,4.155300939543,-92.8524381807795,-873.381678762451,186,2564
31,31,7,sequential,Sequential,0.599478141730245,-111.801492780435,-936.939168715689,201,2622
31,31,7,coordinated,Coordinated,-3.98015108740954,-107.699068323448,-858.528640906151,186,2441
31,31,7,delayed_coordination,Delayed Coordination,1.78425185062038,-117.222283110214,-963.078299165967,210,2651
32,32,3,baseline,Baseline,0,0,0,0,0
32,32,3,early_mover,Early Mover,-2.73176652152796,-105.919811908338,-768.047794771951,152,2214
32,32,3,sequential,Sequential,-1.89125267316368,-112.922878757121,-835.319416045679,130,2129
32,32,3,coordinated,Coordinated,-0.686878507465082,-96.0898832144513,-772.22556311899,143,2154
32,32,3,delayed_coordination,Delayed Coordination,-4.71511257956412,-105.030332966771,-791.461816196025,119,2062
32,32,5,baseline,Baseline,0,0,0,0,0
32,32,5,early_mover,Early Mover,-2.51499343488014,-91.3599791013933,-758.461826745681,165,2029
32,32,5,sequential,Sequential,-3.23195150804096,-100.840907012106,-825.465251195201,179,2115
32,32,5,coordinated,Coordinated,-9.08713351445,-81.1305836240177,-710.455385029053,120,1767
32,32,5,delayed_coordination,Delayed Coordination,-2.67565654555743,-103.609011400695,-831.131704946478,156,2101
32,32,7,baseline,Baseline,0,0,0,0,0
32,32,7,early_mover,Early Mover,2.44681395859345,-95.6475813996831,-790.891734024072,166,2234
32,32,7,sequential,Sequential,3.45030425094137,-115.578574846926,-888.330815448126,177,2331
32,32,7,coordinated,Coordinated,-5.16592804723849,-92.3842642996743,-731.386074816832,139,1960
32,32,7,delayed_coordination,Delayed Coordination,2.0418094845753,-105.319939152515,-853.969778015249,179,2276
33,33,3,baseline,Baseline,0,0,0,0,0
33,33,3,early_mover,Early Mover,-6.59811070146129,-103.376331451741,-700.624751078664,138,1974
33,33,3,sequential,Sequential,-5.47283581487649,-119.455652953811,-778.115986318453,143,2089
33,33,3,coordinated,Coordinated,-7.00949345810686,-114.066808960757,-759.827353717837,147,2162
33,33,3,delayed_coordination,Delayed Coordination,-5.71443281504386,-120.507745380225,-781.14038251581,167,2109
33,33,5,baseline,Baseline,0,0,0,0,0
33,33,5,early_mover,Early Mover,-4.97455188607391,-97.0663929463452,-732.259689601337,114,1891
33,33,5,sequential,Sequential,-3.69844801350278,-108.282489614627,-850.121802210297,178,2203
33,33,5,coordinated,Coordinated,-8.44901581626607,-102.581818436087,-724.556892546023,148,2128
33,33,5,delayed_coordination,Delayed Coordination,-5.37125401064731,-107.168608652447,-802.577074767023,151,2052
33,33,7,baseline,Baseline,0,0,0,0,0
33,33,7,early_mover,Early Mover,-4.3500461141237,-100.703620593671,-745.538787495149,148,1971
33,33,7,sequential,Sequential,-2.84263200330528,-115.854048393522,-825.518339664395,163,2168
33,33,7,coordinated,Coordinated,-7.70361907247484,-105.105735251703,-744.50486342148,147,2104
33,33,7,delayed_coordination,Delayed Coordination,-2.9776764886835,-111.651076062647,-842.264694658353,162,2172
34,34,3,baseline,Baseline,0,0,0,0,0
34,34,3,early_mover,Early Mover,-0.126597345552597,-122.208851316605,-779.250224071878,130,2251
34,34,3,sequential,Sequential,-1.64840753196439,-133.491321358758,-842.554475884393,158,2341
34,34,3,coordinated,Coordinated,1.05054925586728,-151.712862329911,-869.377666741074,164,2440
34,34,3,delayed_coordination,Delayed Coordination,-1.71152406920434,-125.894274952679,-846.506341898991,150,2399
34,34,5,baseline,Baseline,0,0,0,0,0
34,34,5,early_mover,Early Mover,3.6029346454976,-136.030638755658,-813.527766969661,157,2492
34,34,5,sequential,Sequential,2.91797194194957,-132.948380978282,-883.337251316309,169,2558
34,34,5,coordinated,Coordinated,5.53160014014323,-157.156776735547,-900.607965947303,168,2554
34,34,5,delayed_coordination,Delayed Coordination,1.86341343801962,-130.885510342041,-864.2579350124,169,2540
34,34,7,baseline,Baseline,0,0,0,0,0
34,34,7,early_mover,Early Mover,4.88338359505124,-129.585025867851,-844.906329150102,166,2546
34,34,7,sequential,Sequential,0.467101238677543,-128.936667697095,-871.713507214851,170,2473
34,34,7,coordinated,Coordinated,10.0258489327993,-157.994007748191,-946.298157253159,184,2817
34,34,7,delayed_coordination,Delayed Coordination,-0.223629128318521,-130.612612003415,-861.699386084388,175,2536
35,35,3,baseline,Baseline,0,0,0,0,0
35,35,3,early_mover,Early Mover,-5.56435164898232,-79.439705957962,-749.088281326536,142,1807
35,35,3,sequential,Sequential,-10.3875964858803,-86.6619590178235,-750.298629437338,138,1775
35,35,3,coordinated,Coordinated,-5.18806648887825,-96.9037526753588,-780.552725539076,132,2072
35,35,3,delayed_coordination,Delayed Coordination,-7.8338857295989,-86.0009530792345,-792.865951400071,157,1892
35,35,5,baseline,Baseline,0,0,0,0,0
35,35,5,early_mover,Early Mover,-6.40418958429397,-77.8156479391996,-671.105826125806,133,1845
35,35,5,sequential,Sequential,-8.88010149131658,-83.6528311897393,-737.177325020647,146,1976
35,35,5,coordinated,Coordinated,-7.95829904559172,-76.2536001309064,-763.155561189862,147,2085
35,35,5,delayed_coordination,Delayed Coordination,-7.95252379986684,-79.9059998157553,-760.625034658219,133,2005
35,35,7,baseline,Baseline,0,0,0,0,0
35,35,7,early_mover,Early Mover,-7.08946116894481,-73.6166891281625,-694.480818570383,137,1755
35,35,7,sequential,Sequential,-7.80250301897276,-80.3863155910229,-768.522917711795,157,1888
35,35,7,coordinated,Coordinated,-4.71629831178616,-96.5705902330578,-831.669304481301,176,2258
35,35,7,delayed_coordination,Delayed Coordination,-9.35211888866543,-77.732355726282,-703.482169590768,133,1772
36,36,3,baseline,Baseline,0,0,0,0,0
36,36,3,early_mover,Early Mover,-2.0335479156996,-110.012659470202,-748.696090710158,154,2007
36,36,3,sequential,Sequential,-6.66902464610513,-118.184091894308,-768.254161371981,146,1922
36,36,3,coordinated,Coordinated,-13.2667028818261,-92.6688052293101,-658.414502978585,121,1603
36,36,3,delayed_coordination,Delayed Coordination,-6.83044515400609,-114.263643002938,-790.138302699688,153,1932
36,36,5,baseline,Baseline,0,0,0,0,0
36,36,5,early_mover,Early Mover,-1.75343575398267,-100.174806015699,-716.933682735174,153,1932
36,36,5,sequential,Sequential,-4.81691442833328,-116.949563618928,-771.640601281094,151,1917
36,36,5,coordinated,Coordinated,-8.36792736692706,-110.919207339333,-733.384687483716,145,1821
36,36,5,delayed_coordination,Delayed Coordination,-5.00499591756412,-119.717049318545,-808.217667481574,170,1890
36,36,7,baseline,Baseline,0,0,0,0,0
36,36,7,early_mover,Early Mover,-0.689536603295807,-107.207952140577,-763.447732325673,154,1950
36,36,7,sequential,Sequential,-4.40438418763662,-114.724759169216,-805.943726086772,158,1857
36,36,7,coordinated,Coordinated,-7.32393899425458,-113.459928902065,-773.917109156745,157,1857
36,36,7,delayed_coordination,Delayed Coordination,-3.85170284217773,-117.796381342408,-814.860754193707,152,1946
37,37,3,baseline,Baseline,0,0,0,0,0
37,37,3,early_mover,Early Mover,-3.67158655785741,-93.9643883414109,-679.55597757141,146,2090
37,37,3,sequential,Sequential,-5.34334974254843,-100.391184407062,-749.49014911874,158,2142
37,37,3,coordinated,Coordinated,-7.00054447460411,-83.7755308676284,-660.464310407684,143,1888
37,37,3,delayed_coordination,Delayed Coordination,-4.27552076631171,-99.0882218440329,-737.038929292416,163,2134
37,37,5,baseline,Baseline,0,0,0,0,0
37,37,5,early_mover,Early Mover,-3.47854200342822,-92.0433828002897,-676.333068164955,137,2064
37,37,5,sequential,Sequential,-5.58457855200751,-104.265038389476,-742.926667756598,158,2160
37,37,5,coordinated,Coordinated,-4.25067038789724,-101.233295109077,-717.590131431428,155,2019
37,37,5,delayed_coordination,Delayed Coordination,-5.27264042668908,-98.6355097778327,-739.338311511963,156,2125
37,37,7,baseline,Baseline,0,0,0,0,0
37,37,7,early_mover,Early Mover,-5.56793242713181,-89.379995459396,-637.47147884042,152,1973
37,37,7,sequential,Sequential,-6.66222225702018,-96.9332819560407,-710.879151588287,158,2062
37,37,7,coordinated,Coordinated,-5.94048737331302,-89.6817057975299,-664.822493915399,145,1907
37,37,7,delayed_coordination,Delayed Coordination,-9.65036819652681,-94.5225054018888,-687.279653702083,158,2007
38,38,3,baseline,Baseline,0,0,0,0,0
38,38,3,early_mover,Early Mover,-7.23640248035385,-75.5389450044756,-614.535499030535,98,1440
38,38,3,sequential,Sequential,-10.5228893824818,-80.6573155294993,-643.482437496719,100,1384
38,38,3,coordinated,Coordinated,-12.6541610845212,-74.3246454878577,-589.668677222372,92,1264
38,38,3,delayed_coordination,Delayed Coordination,-7.42788540121904,-82.6163005457098,-671.618368395757,109,1442
38,38,5,baseline,Baseline,0,0,0,0,0
38,38,5,early_mover,Early Mover,-8.01051191377171,-72.9326953260812,-596.802826086559,106,1345
38,38,5,sequential,Sequential,-6.91537147092518,-83.6227210621925,-695.427096022678,131,1448
38,38,5,coordinated,Coordinated,-8.17497714529632,-77.1664823604959,-646.706798720592,120,1482
38,38,5,delayed_coordination,Delayed Coordination,-5.78350568473859,-84.1101917164833,-714.182149883382,123,1417
38,38,7,baseline,Baseline,0,0,0,0,0
38,38,7,early_mover,Early Mover,-3.15227597098502,-79.4501918557075,-687.261187536332,128,1632
38,38,7,sequential,Sequential,-7.11013587159805,-87.04777414558,-690.792256467555,118,1372
38,38,7,coordinated,Coordinated,-8.16137067862562,-81.8320135038604,-676.420556238241,119,1492
38,38,7,delayed_coordination,Delayed Coordination,-6.28909065100295,-86.4471268926177,-676.492955287675,132,1627
39,39,3,baseline,Baseline,0,0,0,0,0
39,39,3,early_mover,Early Mover,-12.9860234720819,-96.7534827734197,-590.207693774387,106,1538
39,39,3,sequential,Sequential,-16.8079527933529,-96.608948465356,-624.160442078532,70,1339
39,39,3,coordinated,Coordinated,-14.0600716050244,-101.948699411389,-675.22393233445,137,1787
39,39,3,delayed_coordination,Delayed Coordination,-15.5904125588888,-106.469047233984,-646.967900018903,120,1718
39,39,5,baseline,Baseline,0,0,0,0,0
39,39,5,early_mover,Early Mover,-4.18792664354379,-116.535837883839,-742.20102792821,149,2135
39,39,5,sequential,Sequential,-7.7752377800233,-123.800195958982,-768.871676373,122,2027
39,39,5,coordinated,Coordinated,-13.5222710939411,-110.763813371578,-685.716453585711,145,1827
39,39,5,delayed_coordination,Delayed Coordination,-6.13737762979687,-128.108046347445,-795.015976365294,139,2079
39,39,7,baseline,Baseline,0,0,0,0,0
39,39,7,early_mover,Early Mover,-6.40371388095036,-110.388310078067,-703.901465435356,126,2078
39,39,7,sequential,Sequential,-6.77005914205201,-125.361565446086,-788.235850792006,139,2057
39,39,7,coordinated,Coordinated,-13.0206523076884,-112.357963852948,-655.634469981134,133,1870
39,39,7,delayed_coordination,Delayed Coordination,-7.9681338654662,-122.029106977703,-763.232678410071,141,2153
40,40,3,baseline,Baseline,0,0,0,0,0
40,40,3,early_mover,Early Mover,3.13716295450304,-100.007131107875,-856.58174764364,176,2484
40,40,3,sequential,Sequential,-1.06580764354054,-107.392534417997,-904.007903419977,188,2496
40,40,3,coordinated,Coordinated,-6.32799817514815,-112.717418340648,-808.820142509355,150,2107
40,40,3,delayed_coordination,Delayed Coordination,-1.55460182501874,-111.59753066812,-922.18257805933,178,2455
40,40,5,baseline,Baseline,0,0,0,0,0
40,40,5,early_mover,Early Mover,-0.261249974408003,-106.908735339202,-813.723374474147,161,2209
40,40,5,sequential,Sequential,-4.31790035563938,-114.27335621979,-849.163109765927,163,2168
40,40,5,coordinated,Coordinated,-6.56581298930112,-105.552809425879,-822.741008732843,173,2078
40,40,5,delayed_coordination,Delayed Coordination,-5.15200458407303,-114.516301843737,-856.601830887377,174,2160
40,40,7,baseline,Baseline,0,0,0,0,0
40,40,7,early_mover,Early Mover,3.49208453127628,-103.302270289739,-857.98959687962,171,2471
40,40,7,sequential,Sequential,-3.15423985894468,-101.804334344988,-897.037221269519,181,2474
40,40,7,coordinated,Coordinated,-2.78317363781336,-107.480917130042,-838.894642096001,175,2374
40,40,7,delayed_coordination,Delayed Coordination,-1.44988994050154,-107.090375637174,-894.149097699721,160,2352
41,41,3,baseline,Baseline,0,0,0,0,0
41,41,3,early_mover,Early Mover,-0.113317286796956,-95.3644474516061,-772.15944444814,146,2095
41,41,3,sequential,Sequential,-3.84553422975605,-96.0515698568564,-762.473897455817,147,2015
41,41,3,coordinated,Coordinated,-4.4595804524412,-107.038079341738,-739.123720320074,127,1893
41,41,3,delayed_coordination,Delayed Coordination,-4.41605044655989,-92.3110777634437,-742.982388947979,135,2047
41,41,5,baseline,Baseline,0,0,0,0,0
41,41,5,early_mover,Early Mover,-1.40305593289227,-95.2824841118219,-728.838484350134,146,2089
41,41,5,sequential,Sequential,-0.840961171851447,-100.299088566342,-778.643413509851,149,2039
41,41,5,coordinated,Coordinated,-2.30923414784496,-103.933374723369,-716.162468917541,124,1893
41,41,5,delayed_coordination,Delayed Coordination,1.52384366300481,-113.020424029924,-866.61046873926,135,2140
41,41,7,baseline,Baseline,0,0,0,0,0
41,41,7,early_mover,Early Mover,0.19384885677897,-105.564224665427,-769.973381242107,150,2260
41,41,7,sequential,Sequential,-2.44166811430981,-115.07825757079,-802.895221781122,145,2014
41,41,7,coordinated,Coordinated,-1.43411269157747,-110.540734034716,-772.280961953489,159,2030
41,41,7,delayed_coordination,Delayed Coordination,1.14749734813824,-118.717349291271,-877.760533098192,167,2312
42,42,3,baseline,Baseline,0,0,0,0,0
42,42,3,early_mover,Early Mover,0.0191496013270722,-126.279706188487,-806.453564378128,162,2279
42,42,3,sequential,Sequential,-7.29134500279909,-124.564713894279,-789.803601210986,105,1718
42,42,3,coordinated,Coordinated,-11.4660879605015,-81.7383746842212,-639.911292871177,124,1423
42,42,3,delayed_coordination,Delayed Coordination,-4.72849655526095,-123.496450628803,-803.295611326596,139,2067
42,42,5,baseline,Baseline,0,0,0,0,0
42,42,5,early_mover,Early Mover,-4.68381904444018,-115.786965033559,-673.91408027436,138,1883
42,42,5,sequential,Sequential,-12.173324357172,-105.416880353617,-608.931275211133,92,1380
42,42,5,coordinated,Coordinated,-11.0220332826401,-92.756989878141,-555.44139236798,108,1393
42,42,5,delayed_coordination,Delayed Coordination,-12.0649507727594,-114.231695831749,-611.095860583264,77,1417
42,42,7,baseline,Baseline,0,0,0,0,0
42,42,7,early_mover,Early Mover,-3.9277283990949,-120.03210289719,-682.337298006063,129,1870
42,42,7,sequential,Sequential,-9.60844076266487,-104.636994528552,-630.804248173494,117,1596
42,42,7,coordinated,Coordinated,-9.66600134678798,-110.883581485287,-635.103551339757,121,1524
42,42,7,delayed_coordination,Delayed Coordination,-6.26690099466052,-122.571601157483,-741.360717943992,141,1758
43,43,3,baseline,Baseline,0,0,0,0,0
43,43,3,early_mover,Early Mover,-0.741369125211691,-110.195725693985,-815.21053610167,155,2234
43,43,3,sequential,Sequential,-3.80994225363546,-125.095292302004,-844.793401648543,165,2244
